step,reward,eval_type,seed
250112,0.0,pi,4
250112,0.3,mppi,4
500224,0.0,pi,4
500224,1.2,mppi,4
750080,0.0,pi,4
750080,0.9,mppi,4
1000192,0.3,pi,4
1000192,15.5,mppi,4
1250048,0.0,pi,4
1250048,0.5,mppi,4
1500160,1.4,pi,4
1500160,1.8,mppi,4
1750016,0.9,pi,4
1750016,1.8,mppi,4
2000128,2.4,pi,4
2000128,0.0,mppi,4
2250240,2.3,pi,4
2250240,1.4,mppi,4
2500096,0.0,pi,4
2500096,3.0,mppi,4
2750208,0.0,pi,4
2750208,1.7,mppi,4
3000064,0.1,pi,4
3000064,1.3,mppi,4
3250176,0.0,pi,4
3250176,1.4,mppi,4
3500032,0.0,pi,4
3500032,0.0,mppi,4
3750144,0.0,pi,4
3750144,2.5,mppi,4
4000000,3.3,pi,4
4000000,3.1,mppi,4
4250112,2.5,pi,4
4250112,6.8,mppi,4
