step,reward,eval_type,seed
250112,0.0,pi,1
250112,0.0,mppi,1
500224,0.0,pi,1
500224,0.8,mppi,1
750080,0.0,pi,1
750080,0.9,mppi,1
1000192,27.2,pi,1
1000192,27.8,mppi,1
1250048,8.1,pi,1
1250048,9.1,mppi,1
1500160,6.2,pi,1
1500160,6.4,mppi,1
1750016,59.7,pi,1
1750016,184.2,mppi,1
2000128,202.3,pi,1
2000128,193.1,mppi,1
2250240,13.7,pi,1
2250240,11.1,mppi,1
2500096,2.9,pi,1
2500096,2.2,mppi,1
2750208,220.3,pi,1
2750208,238.5,mppi,1
3000064,184.7,pi,1
3000064,329.3,mppi,1
3250176,317.9,pi,1
3250176,249.5,mppi,1
3500032,383.1,pi,1
3500032,317.8,mppi,1
3750144,338.3,pi,1
3750144,346.0,mppi,1
4000000,374.3,pi,1
4000000,403.3,mppi,1
4250112,421.5,pi,1
4250112,453.2,mppi,1
