step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,5,0.0000,0.0000,0.0,1000.0
250112,mppi,5,0.0000,0.0000,0.0,1000.0
500224,pi,5,0.0000,0.0000,0.0,1000.0
500224,mppi,5,0.0000,0.0000,0.0,1000.0
750080,pi,5,0.0000,0.0006,0.2,1000.0
750080,mppi,5,0.0000,0.0000,0.0,1000.0
1000192,pi,5,0.0000,0.0052,0.2,1000.0
1000192,mppi,5,0.0023,0.0280,0.3333333333333333,694.3333333333334
1250048,pi,5,0.0040,0.0142,0.4,616.6
1250048,mppi,5,0.0000,0.0000,0.0,1000.0
1500160,pi,5,0.0026,0.0034,0.2,802.4
1500160,mppi,5,0.0000,0.0000,0.0,1000.0
1750016,pi,5,0.0000,0.0000,0.0,1000.0
1750016,mppi,5,0.0000,0.0000,0.0,1000.0
2000128,pi,5,0.1916,0.3432,17.0,34.2
2000128,mppi,5,0.0640,0.1373,7.333333333333333,692.0
2250240,pi,5,0.0288,0.0868,3.4,811.6
2250240,mppi,5,0.0803,0.1320,7.333333333333333,686.6666666666666
2500096,pi,5,0.0812,0.2380,7.2,429.8
2500096,mppi,5,0.0680,0.0850,3.3333333333333335,677.6666666666666
2750208,pi,5,0.0024,0.0070,0.2,813.0
2750208,mppi,5,0.0000,0.0000,0.0,1000.0
3000064,pi,5,0.0020,0.0030,0.2,802.4
3000064,mppi,5,0.0000,0.0000,0.0,1000.0
3250176,pi,5,0.0932,0.1510,10.2,623.6
3250176,mppi,5,0.0327,0.1523,7.333333333333333,671.0
3500032,pi,5,0.0536,0.0750,3.8,804.6
3500032,mppi,5,0.0840,0.1173,4.333333333333333,690.6666666666666
3750144,pi,5,0.0494,0.0820,4.8,812.6
3750144,mppi,5,0.0893,0.1403,7.0,685.0
4000000,pi,5,0.1802,0.2656,11.0,254.0
4000000,mppi,5,0.1877,0.2827,15.0,357.0
4250112,pi,5,0.1558,0.2592,12.0,435.6
4250112,mppi,5,0.1830,0.3053,14.666666666666666,376.3333333333333
4500224,pi,5,0.1636,0.2522,10.4,427.0
4500224,mppi,5,0.0907,0.1533,7.0,690.3333333333334
4750080,pi,5,0.1666,0.2500,8.0,439.0
4750080,mppi,5,0.1877,0.3287,9.333333333333334,373.0
5000192,pi,5,0.2208,0.3476,10.4,304.6
5000192,mppi,5,0.2710,0.5953,11.333333333333334,56.333333333333336
5250048,pi,5,0.0614,0.0916,5.8,628.2
5250048,mppi,5,0.1647,0.2710,16.666666666666668,71.0
5500160,pi,5,0.3250,0.4858,15.2,48.0
5500160,mppi,5,0.1563,0.3803,5.0,375.6666666666667
5750016,pi,5,0.2368,0.3768,6.4,249.8
5750016,mppi,5,0.2087,0.3677,6.0,348.0
6000128,pi,5,0.0074,0.0114,0.2,808.2
6000128,mppi,5,0.0133,0.0207,2.0,712.3333333333334
6250240,pi,5,0.3502,0.4740,9.2,76.0
6250240,mppi,5,0.3780,0.5183,8.666666666666666,78.0
6500096,pi,5,0.3812,0.4840,10.0,67.2
6500096,mppi,5,0.3547,0.4820,8.333333333333334,164.0
6750208,pi,5,0.0128,0.0234,0.4,625.0
6750208,mppi,5,0.0267,0.0523,1.0,63.333333333333336
7000064,pi,5,0.0122,0.0440,0.6,420.2
7000064,mppi,5,0.0113,0.0347,2.0,375.3333333333333
7250176,pi,5,0.0258,0.0402,1.2,55.2
7250176,mppi,5,0.0073,0.0277,0.6666666666666666,383.0
