step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0126,0.2304,6.4,752.8
50176,mppi,1,0.0211,0.1565,2.5,775.875
100096,pi,1,0.1652,0.4374,5.4,195.8
100096,mppi,1,0.0979,0.3156,3.75,615.5
150016,pi,1,0.1480,0.3008,3.0,636.2
150016,mppi,1,0.3216,0.5633,4.75,316.125
200192,pi,1,0.2302,0.4916,5.2,413.6
200192,mppi,1,0.2937,0.5194,4.875,311.25
250112,pi,1,0.2898,0.5198,4.2,403.2
250112,mppi,1,0.2640,0.4920,4.125,453.5
300032,pi,1,0.2432,0.4538,4.0,455.0
300032,mppi,1,0.2281,0.4356,4.75,321.375
350208,pi,1,0.3248,0.5660,5.4,267.6
350208,mppi,1,0.2895,0.5041,4.125,357.125
400128,pi,1,0.3294,0.5476,4.6,307.4
400128,mppi,1,0.3792,0.5920,4.25,310.875
450048,pi,1,0.2682,0.4874,4.4,439.0
450048,mppi,1,0.4131,0.6259,4.375,229.875
500224,pi,1,0.3258,0.5370,4.0,317.8
500224,mppi,1,0.3127,0.5297,4.125,392.25
