step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.0000,0.0,1000.0
50176,mppi,1,0.0000,0.0000,0.0,1000.0
100096,pi,1,0.0002,0.0002,0.2,953.2
100096,mppi,1,0.0007,0.0007,0.3333333333333333,803.0
150016,pi,1,0.0000,0.0000,0.0,1000.0
150016,mppi,1,0.0000,0.0000,0.0,1000.0
200192,pi,1,0.0000,0.0000,0.0,1000.0
200192,mppi,1,0.0000,0.0000,0.0,1000.0
250112,pi,1,0.0006,0.0006,0.6,759.0
250112,mppi,1,0.0000,0.0000,0.0,1000.0
300032,pi,1,0.0000,0.0000,0.0,1000.0
300032,mppi,1,0.0000,0.0000,0.0,1000.0
350208,pi,1,0.0000,0.0000,0.0,1000.0
350208,mppi,1,0.0000,0.0000,0.0,1000.0
400128,pi,1,0.0006,0.0006,0.4,881.4
400128,mppi,1,0.0040,0.0040,3.0,554.3333333333334
450048,pi,1,0.0012,0.0012,1.2,842.8
450048,mppi,1,0.0017,0.0017,1.0,575.0
500224,pi,1,0.0012,0.0012,1.2,749.8
500224,mppi,1,0.0017,0.0017,1.6666666666666667,769.6666666666666
550144,pi,1,0.0000,0.0000,0.0,1000.0
550144,mppi,1,0.0000,0.0000,0.0,1000.0
600064,pi,1,0.0026,0.0026,2.6,389.0
600064,mppi,1,0.0030,0.0030,3.0,450.0
650240,pi,1,0.0022,0.0022,2.2,504.6
650240,mppi,1,0.0027,0.0027,2.3333333333333335,575.3333333333334
700160,pi,1,0.0010,0.0010,1.0,755.0
700160,mppi,1,0.0000,0.0000,0.0,1000.0
750080,pi,1,0.0024,0.0024,2.2,517.0
750080,mppi,1,0.0010,0.0010,1.0,804.6666666666666
800000,pi,1,0.0000,0.0000,0.0,1000.0
800000,mppi,1,0.0013,0.0013,0.3333333333333333,766.0
850176,pi,1,0.0004,0.0004,0.2,999.4
850176,mppi,1,0.0030,0.0030,2.0,684.3333333333334
900096,pi,1,0.0000,0.0000,0.0,1000.0
900096,mppi,1,0.0000,0.0000,0.0,1000.0
950016,pi,1,0.0000,0.0000,0.0,1000.0
950016,mppi,1,0.0000,0.0000,0.0,1000.0
1000192,pi,1,0.0000,0.0000,0.0,1000.0
1000192,mppi,1,0.0000,0.0000,0.0,1000.0
