step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.3120,6.4,1000.0
50176,mppi,2,0.0000,0.4002,16.25,1000.0
100096,pi,2,0.0000,0.7934,5.8,1000.0
100096,mppi,2,0.0000,0.6220,14.0,1000.0
150016,pi,2,0.0000,0.8846,7.6,1000.0
150016,mppi,2,0.0000,0.9221,2.75,1000.0
200192,pi,2,0.0000,0.8458,4.2,1000.0
200192,mppi,2,0.0000,0.8749,3.25,1000.0
250112,pi,2,0.0000,0.6954,2.6,1000.0
250112,mppi,2,0.0000,0.6819,5.75,1000.0
300032,pi,2,0.0000,0.9282,5.4,1000.0
300032,mppi,2,0.0000,0.7596,7.125,1000.0
350208,pi,2,0.0014,0.6564,8.2,970.8
350208,mppi,2,0.0000,0.6619,9.5,1000.0
400128,pi,2,0.0028,0.9832,1.0,839.4
400128,mppi,2,0.0000,0.7345,10.25,1000.0
450048,pi,2,0.0038,0.8256,6.8,755.0
450048,mppi,2,0.0057,0.7200,15.0,884.375
500224,pi,2,0.0122,0.8496,3.0,589.6
500224,mppi,2,0.0393,0.9424,1.125,462.625
