step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.0892,2.6,1000.0
50176,mppi,2,0.0000,0.0180,0.3333333333333333,1000.0
100096,pi,2,0.0000,0.9990,0.0,1000.0
100096,mppi,2,0.0000,0.8810,7.0,1000.0
150016,pi,2,0.0000,0.1244,36.0,1000.0
150016,mppi,2,0.0000,0.0010,0.6666666666666666,1000.0
200192,pi,2,0.0006,0.9990,0.0,882.2
200192,mppi,2,0.0147,0.9990,0.0,731.0
250112,pi,2,0.0000,0.1010,7.4,1000.0
250112,mppi,2,0.0000,0.1543,39.333333333333336,1000.0
300032,pi,2,0.4782,0.9990,0.0,104.4
300032,mppi,2,0.2140,0.9990,0.0,126.0
350208,pi,2,0.8090,0.9990,0.0,109.4
350208,mppi,2,0.5410,0.9990,0.0,103.0
400128,pi,2,0.4428,0.5624,0.8,552.0
400128,mppi,2,0.0000,0.0047,1.0,1000.0
450048,pi,2,0.0000,0.9990,0.0,1000.0
450048,mppi,2,0.0000,0.9990,0.0,1000.0
500224,pi,2,0.8120,0.9990,0.0,83.2
500224,mppi,2,0.8043,0.9990,0.0,137.33333333333334
