step,reward,eval_type,seed
50176,350.0,pi,10
50176,357.0,mppi,10
100096,623.8,pi,10
100096,673.2,mppi,10
150016,693.8,pi,10
150016,737.5,mppi,10
200192,772.2,pi,10
200192,833.4,mppi,10
250112,831.2,pi,10
250112,960.0,mppi,10
300032,699.4,pi,10
300032,835.9,mppi,10
350208,726.2,pi,10
350208,940.5,mppi,10
400128,735.6,pi,10
400128,971.5,mppi,10
450048,758.0,pi,10
450048,966.6,mppi,10
500224,757.2,pi,10
500224,933.9,mppi,10
550144,772.8,pi,10
550144,982.8,mppi,10
600064,779.4,pi,10
600064,957.0,mppi,10
650240,763.2,pi,10
650240,966.0,mppi,10
700160,780.0,pi,10
700160,980.4,mppi,10
750080,787.0,pi,10
750080,976.6,mppi,10
800000,785.8,pi,10
800000,933.0,mppi,10
850176,861.0,pi,10
850176,905.8,mppi,10
900096,836.2,pi,10
900096,939.9,mppi,10
950016,881.0,pi,10
950016,969.8,mppi,10
1000192,872.6,pi,10
1000192,915.4,mppi,10
