step,reward,eval_type,seed
50176,497.8,pi,6
50176,490.7,mppi,6
100096,869.0,pi,6
100096,941.3,mppi,6
150016,973.0,pi,6
150016,985.7,mppi,6
200192,970.6,pi,6
200192,988.3,mppi,6
250112,952.0,pi,6
250112,979.0,mppi,6
300032,922.6,pi,6
300032,977.3,mppi,6
350208,977.4,pi,6
350208,992.0,mppi,6
400128,976.8,pi,6
400128,986.0,mppi,6
450048,982.8,pi,6
450048,985.7,mppi,6
500224,977.2,pi,6
500224,984.3,mppi,6
550144,959.4,pi,6
550144,961.3,mppi,6
600064,979.0,pi,6
600064,990.0,mppi,6
650240,972.0,pi,6
650240,981.7,mppi,6
700160,974.6,pi,6
700160,985.0,mppi,6
750080,980.8,pi,6
750080,985.0,mppi,6
800000,952.6,pi,6
800000,982.7,mppi,6
850176,972.2,pi,6
850176,988.3,mppi,6
900096,972.6,pi,6
900096,989.0,mppi,6
950016,973.8,pi,6
950016,988.3,mppi,6
1000192,979.6,pi,6
1000192,994.0,mppi,6
