step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,20,0.1470,0.1470,17.0,611.8
50176,mppi,20,0.0857,0.0857,9.0,351.3333333333333
100096,pi,20,0.5736,0.5736,56.2,11.0
100096,mppi,20,0.5607,0.5607,50.666666666666664,7.0
150016,pi,20,0.6456,0.6456,65.6,9.6
150016,mppi,20,0.6487,0.6487,64.66666666666667,14.0
200192,pi,20,0.3120,0.3120,30.0,13.2
200192,mppi,20,0.3053,0.3053,29.333333333333332,14.666666666666666
250112,pi,20,0.6574,0.6574,67.0,12.2
250112,mppi,20,0.6383,0.6383,65.33333333333333,16.666666666666668
300032,pi,20,0.6068,0.6068,60.2,15.4
300032,mppi,20,0.6387,0.6387,58.666666666666664,10.0
350208,pi,20,0.6080,0.6080,59.4,12.8
350208,mppi,20,0.6570,0.6570,61.0,10.666666666666666
400128,pi,20,0.6322,0.6322,61.8,10.0
400128,mppi,20,0.6723,0.6723,62.0,15.0
450048,pi,20,0.6166,0.6166,60.6,10.0
450048,mppi,20,0.6637,0.6637,66.33333333333333,7.666666666666667
500224,pi,20,0.6464,0.6464,64.2,10.0
500224,mppi,20,0.6473,0.6473,63.333333333333336,11.333333333333334
