step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,4,0.0000,0.0000,0.0,1000.0
250112,mppi,4,0.0000,0.0000,0.0,1000.0
500224,pi,4,0.0000,0.0008,0.2,1000.0
500224,mppi,4,0.0017,0.0080,0.3333333333333333,699.3333333333334
750080,pi,4,0.0000,0.0008,0.2,1000.0
750080,mppi,4,0.0010,0.0020,0.6666666666666666,671.3333333333334
1000192,pi,4,0.0230,0.0476,2.8,448.2
1000192,mppi,4,0.0000,0.0043,0.3333333333333333,1000.0
1250048,pi,4,0.0022,0.0046,0.2,804.0
1250048,mppi,4,0.0040,0.0220,0.6666666666666666,671.0
1500160,pi,4,0.0038,0.0162,1.0,427.0
1500160,mppi,4,0.0030,0.0063,0.3333333333333333,685.6666666666666
1750016,pi,4,0.1648,0.2650,12.4,62.0
1750016,mppi,4,0.1053,0.2077,9.0,368.3333333333333
2000128,pi,4,0.1072,0.1888,8.0,470.6
2000128,mppi,4,0.0640,0.1347,4.333333333333333,682.0
2250240,pi,4,0.2024,0.4010,14.0,54.6
2250240,mppi,4,0.2037,0.3787,14.0,62.333333333333336
2500096,pi,4,0.1694,0.4074,11.6,83.6
2500096,mppi,4,0.1947,0.4123,12.666666666666666,54.333333333333336
2750208,pi,4,0.1636,0.2934,10.6,246.6
2750208,mppi,4,0.2043,0.3887,14.0,34.666666666666664
3000064,pi,4,0.2190,0.4158,13.0,55.4
3000064,mppi,4,0.2153,0.4273,13.333333333333334,52.333333333333336
3250176,pi,4,0.2182,0.3730,13.8,77.4
3250176,mppi,4,0.2173,0.3670,14.0,74.0
3500032,pi,4,0.2188,0.3862,14.0,74.6
3500032,mppi,4,0.2260,0.4253,13.0,59.666666666666664
3750144,pi,4,0.2184,0.3938,13.6,81.6
3750144,mppi,4,0.2267,0.4293,13.666666666666666,67.66666666666667
4000000,pi,4,0.2278,0.3638,14.0,66.0
4000000,mppi,4,0.2313,0.3797,14.333333333333334,59.333333333333336
4250112,pi,4,0.1870,0.3088,11.4,249.0
4250112,mppi,4,0.2327,0.4197,14.333333333333334,67.33333333333333
4500224,pi,4,0.2154,0.3930,13.4,64.6
4500224,mppi,4,0.2193,0.3907,14.0,63.0
4750080,pi,4,0.2348,0.3752,15.2,49.4
4750080,mppi,4,0.2360,0.4237,14.333333333333334,49.333333333333336
5000192,pi,4,0.2332,0.3966,14.2,49.8
5000192,mppi,4,0.2353,0.4207,14.0,57.0
5250048,pi,4,0.2256,0.3946,14.0,60.8
5250048,mppi,4,0.2373,0.3983,14.666666666666666,61.666666666666664
5500160,pi,4,0.2288,0.3952,14.6,53.8
5500160,mppi,4,0.2347,0.4090,14.666666666666666,54.666666666666664
5750016,pi,4,0.2326,0.3968,14.0,60.6
5750016,mppi,4,0.2310,0.4170,14.0,65.66666666666667
6000128,pi,4,0.2436,0.3820,15.4,46.4
6000128,mppi,4,0.2343,0.4193,14.333333333333334,65.66666666666667
6250240,pi,4,0.2428,0.3840,14.4,67.0
6250240,mppi,4,0.2287,0.3780,14.0,73.66666666666667
6500096,pi,4,0.2384,0.3716,15.0,39.0
6500096,mppi,4,0.2517,0.3983,14.666666666666666,55.666666666666664
6750208,pi,4,0.2366,0.3878,15.2,48.0
6750208,mppi,4,0.2230,0.4207,14.0,57.0
7000064,pi,4,0.2358,0.3794,14.6,65.0
7000064,mppi,4,0.2333,0.4180,14.0,64.0
7250176,pi,4,0.2362,0.3912,15.0,59.4
7250176,mppi,4,0.2380,0.4340,15.0,36.333333333333336
7500032,pi,4,0.2432,0.3888,15.0,59.6
7500032,mppi,4,0.2397,0.3903,14.333333333333334,73.0
7750144,pi,4,0.2422,0.3868,15.2,57.6
7750144,mppi,4,0.2470,0.3943,14.666666666666666,64.33333333333333
8000000,pi,4,0.2380,0.3746,14.6,68.8
8000000,mppi,4,0.2477,0.4153,14.666666666666666,59.333333333333336
8250112,pi,4,0.2384,0.4072,14.4,50.8
8250112,mppi,4,0.2483,0.4140,15.333333333333334,38.333333333333336
8500224,pi,4,0.2288,0.4094,14.0,62.2
8500224,mppi,4,0.2363,0.4077,14.0,66.66666666666667
8750080,pi,4,0.2394,0.4058,14.6,56.4
8750080,mppi,4,0.1663,0.2987,9.666666666666666,341.6666666666667
9000192,pi,4,0.2498,0.3850,14.2,52.2
9000192,mppi,4,0.2377,0.4443,13.666666666666666,64.66666666666667
9250048,pi,4,0.2486,0.3794,15.0,48.6
9250048,mppi,4,0.2467,0.4130,14.333333333333334,65.66666666666667
9500160,pi,4,0.2408,0.3906,14.6,46.4
9500160,mppi,4,0.2460,0.4213,14.666666666666666,50.333333333333336
9750016,pi,4,0.2514,0.3726,14.8,57.4
9750016,mppi,4,0.2400,0.4457,13.666666666666666,54.333333333333336
10000128,pi,4,0.2386,0.3840,14.2,71.0
10000128,mppi,4,0.2390,0.4143,14.0,72.66666666666667
