step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,4,0.0000,0.0000,0.0,1000.0
250112,mppi,4,0.0000,0.0000,0.0,1000.0
500224,pi,4,0.0000,0.0004,0.2,1000.0
500224,mppi,4,0.0000,0.0000,0.0,1000.0
750080,pi,4,0.0000,0.0000,0.0,1000.0
750080,mppi,4,0.0000,0.0000,0.0,1000.0
1000192,pi,4,0.0932,0.2178,11.0,432.4
1000192,mppi,4,0.0000,0.0000,0.0,1000.0
1250048,pi,4,0.0430,0.0846,3.8,812.4
1250048,mppi,4,0.1257,0.2220,11.0,411.3333333333333
1500160,pi,4,0.2798,0.4448,16.8,69.8
1500160,mppi,4,0.2933,0.3650,19.666666666666668,58.333333333333336
1750016,pi,4,0.3336,0.4368,17.8,56.4
1750016,mppi,4,0.3130,0.4593,17.0,71.0
2000128,pi,4,0.2974,0.4778,17.0,44.2
2000128,mppi,4,0.1983,0.3340,10.666666666666666,367.6666666666667
2250240,pi,4,0.2934,0.4596,16.6,64.4
2250240,mppi,4,0.3220,0.4590,17.333333333333332,50.0
2500096,pi,4,0.3096,0.4464,18.0,55.0
2500096,mppi,4,0.3130,0.4887,17.333333333333332,42.666666666666664
2750208,pi,4,0.2876,0.4812,16.8,55.2
2750208,mppi,4,0.1980,0.3093,11.333333333333334,367.6666666666667
3000064,pi,4,0.2960,0.4592,17.6,64.6
3000064,mppi,4,0.3007,0.4743,17.0,54.0
3250176,pi,4,0.3132,0.4412,18.0,51.8
3250176,mppi,4,0.3337,0.4033,19.333333333333332,42.333333333333336
3500032,pi,4,0.2932,0.4530,17.6,49.0
3500032,mppi,4,0.3187,0.4617,17.333333333333332,49.666666666666664
3750144,pi,4,0.3058,0.4490,18.0,47.6
3750144,mppi,4,0.3153,0.4563,18.0,46.666666666666664
4000000,pi,4,0.3110,0.4422,18.0,39.8
4000000,mppi,4,0.3237,0.4280,18.0,56.0
4250112,pi,4,0.3036,0.4506,18.2,38.4
4250112,mppi,4,0.3157,0.4503,18.0,44.333333333333336
4500224,pi,4,0.3004,0.4492,18.2,49.8
4500224,mppi,4,0.3070,0.4460,18.0,56.333333333333336
4750080,pi,4,0.3094,0.4626,17.4,39.4
4750080,mppi,4,0.3167,0.4560,17.0,46.0
5000192,pi,4,0.3194,0.4392,18.2,46.0
5000192,mppi,4,0.3153,0.4447,18.333333333333332,38.333333333333336
5250048,pi,4,0.3172,0.4592,17.0,45.4
5250048,mppi,4,0.3237,0.4400,17.666666666666668,59.333333333333336
5500160,pi,4,0.3086,0.4520,17.8,50.2
5500160,mppi,4,0.3240,0.4420,18.0,47.333333333333336
