step,reward,eval_type,seed
250112,0.0,pi,2
250112,0.0,mppi,2
500224,4.0,pi,2
500224,1.4,mppi,2
750080,6.2,pi,2
750080,6.7,mppi,2
1000192,53.8,pi,2
1000192,10.3,mppi,2
1250048,2.7,pi,2
1250048,1.7,mppi,2
1500160,69.3,pi,2
1500160,30.2,mppi,2
1750016,257.1,pi,2
1750016,241.0,mppi,2
2000128,279.4,pi,2
2000128,291.0,mppi,2
2250240,291.3,pi,2
2250240,358.3,mppi,2
2500096,71.8,pi,2
2500096,237.1,mppi,2
2750208,220.8,pi,2
2750208,347.3,mppi,2
3000064,394.2,pi,2
3000064,442.3,mppi,2
3250176,461.8,pi,2
3250176,503.9,mppi,2
3500032,375.3,pi,2
3500032,409.3,mppi,2
