step,reward,eval_type,seed
250112,26.5,pi,1
250112,112.9,mppi,1
500224,179.0,pi,1
500224,218.1,mppi,1
750080,235.8,pi,1
750080,239.5,mppi,1
1000192,239.9,pi,1
1000192,230.8,mppi,1
1250048,253.8,pi,1
1250048,252.2,mppi,1
1500160,246.0,pi,1
1500160,262.7,mppi,1
1750016,244.2,pi,1
1750016,255.6,mppi,1
2000128,249.3,pi,1
2000128,260.7,mppi,1
2250240,251.7,pi,1
2250240,258.8,mppi,1
2500096,253.9,pi,1
2500096,259.4,mppi,1
2750208,251.2,pi,1
2750208,258.8,mppi,1
3000064,251.9,pi,1
3000064,261.9,mppi,1
3250176,253.1,pi,1
3250176,260.1,mppi,1
3500032,254.3,pi,1
3500032,259.1,mppi,1
3750144,253.4,pi,1
3750144,261.2,mppi,1
4000000,253.3,pi,1
4000000,260.2,mppi,1
4250112,258.8,pi,1
4250112,258.7,mppi,1
4500224,254.5,pi,1
4500224,259.2,mppi,1
