step,reward,eval_type,seed
250112,0.0,pi,1
250112,3.1,mppi,1
500224,134.8,pi,1
500224,134.1,mppi,1
750080,326.3,pi,1
750080,344.3,mppi,1
1000192,432.4,pi,1
1000192,444.3,mppi,1
1250048,442.2,pi,1
1250048,486.9,mppi,1
1500160,476.7,pi,1
1500160,497.5,mppi,1
1750016,480.9,pi,1
1750016,510.1,mppi,1
2000128,490.4,pi,1
2000128,514.0,mppi,1
2250240,509.2,pi,1
2250240,530.2,mppi,1
2500096,498.9,pi,1
2500096,529.9,mppi,1
2750208,468.4,pi,1
2750208,512.2,mppi,1
3000064,498.0,pi,1
3000064,531.8,mppi,1
3250176,523.0,pi,1
3250176,538.2,mppi,1
3500032,504.7,pi,1
3500032,537.0,mppi,1
3750144,514.6,pi,1
3750144,536.0,mppi,1
4000000,518.1,pi,1
4000000,540.3,mppi,1
4250112,510.9,pi,1
4250112,532.0,mppi,1
4500224,507.4,pi,1
4500224,536.5,mppi,1
4750080,504.2,pi,1
4750080,527.0,mppi,1
5000192,518.1,pi,1
5000192,536.7,mppi,1
5250048,509.6,pi,1
5250048,535.4,mppi,1
5500160,420.7,pi,1
5500160,542.9,mppi,1
5750016,507.3,pi,1
5750016,466.2,mppi,1
6000128,514.2,pi,1
6000128,544.1,mppi,1
6250240,530.3,pi,1
6250240,537.4,mppi,1
6500096,528.2,pi,1
6500096,546.3,mppi,1
6750208,513.9,pi,1
6750208,543.2,mppi,1
7000064,517.8,pi,1
7000064,479.0,mppi,1
7250176,493.9,pi,1
7250176,534.4,mppi,1
7500032,505.2,pi,1
7500032,534.7,mppi,1
7750144,492.7,pi,1
7750144,545.8,mppi,1
8000000,516.5,pi,1
8000000,543.3,mppi,1
8250112,530.6,pi,1
8250112,543.2,mppi,1
8500224,525.0,pi,1
8500224,548.7,mppi,1
