step,reward,eval_type,seed
250112,0.0,pi,8
250112,0.0,mppi,8
500224,0.0,pi,8
500224,0.0,mppi,8
750080,0.7,pi,8
750080,5.6,mppi,8
1000192,150.4,pi,8
1000192,60.7,mppi,8
1250048,142.3,pi,8
1250048,152.2,mppi,8
1500160,138.4,pi,8
1500160,123.1,mppi,8
1750016,89.9,pi,8
1750016,116.0,mppi,8
2000128,196.7,pi,8
2000128,94.7,mppi,8
2000128,-1.0,restart_1,8
2250240,92.8,pi,8
2250240,142.1,mppi,8
2500096,149.4,pi,8
2500096,205.0,mppi,8
2750208,168.0,pi,8
2750208,145.1,mppi,8
3000064,116.6,pi,8
3000064,188.1,mppi,8
3250176,233.7,pi,8
3250176,228.3,mppi,8
3500032,296.4,pi,8
3500032,309.9,mppi,8
3750144,301.3,pi,8
3750144,307.5,mppi,8
4000000,318.6,pi,8
4000000,340.4,mppi,8
4250112,339.8,pi,8
4250112,346.4,mppi,8
4250112,-1.0,restart_2,8
4500224,265.1,pi,8
4500224,354.6,mppi,8
4750080,334.7,pi,8
4750080,310.2,mppi,8
5000192,360.3,pi,8
5000192,349.6,mppi,8
5250048,318.7,pi,8
5250048,392.1,mppi,8
5500160,296.1,pi,8
5500160,395.5,mppi,8
5750016,360.8,pi,8
5750016,419.1,mppi,8
6000128,370.8,pi,8
6000128,406.0,mppi,8
6250240,343.7,pi,8
6250240,437.0,mppi,8
6500096,360.8,pi,8
6500096,398.0,mppi,8
6750208,376.3,pi,8
6750208,350.8,mppi,8
7000064,379.7,pi,8
7000064,416.1,mppi,8
7250176,376.5,pi,8
7250176,357.5,mppi,8
7500032,358.3,pi,8
7500032,407.6,mppi,8
7750144,379.8,pi,8
7750144,416.9,mppi,8
8000000,372.2,pi,8
8000000,439.6,mppi,8
8250112,379.2,pi,8
8250112,419.4,mppi,8
8500224,378.2,pi,8
8500224,435.6,mppi,8
8750080,384.2,pi,8
8750080,460.7,mppi,8
9000192,382.3,pi,8
9000192,452.5,mppi,8
9250048,370.3,pi,8
9250048,437.3,mppi,8
9500160,421.7,pi,8
9500160,445.7,mppi,8
9750016,388.3,pi,8
9750016,429.2,mppi,8
10000128,408.5,pi,8
10000128,458.5,mppi,8
