step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0000,0.0000,0.0,1000.0
250112,mppi,1,0.0000,0.0000,0.0,1000.0
500224,pi,1,0.0000,0.0010,0.2,1000.0
500224,mppi,1,0.0000,0.0000,0.0,1000.0
750080,pi,1,0.0008,0.0036,0.2,806.6
750080,mppi,1,0.0000,0.0000,0.0,1000.0
1000192,pi,1,0.0044,0.0202,0.8,448.2
1000192,mppi,1,0.0000,0.0000,0.0,1000.0
1250048,pi,1,0.0000,0.0032,0.6,1000.0
1250048,mppi,1,0.0000,0.0000,0.0,1000.0
1500160,pi,1,0.0016,0.0062,0.2,806.0
1500160,mppi,1,0.0110,0.0270,0.6666666666666666,370.6666666666667
1750016,pi,1,0.0748,0.0798,3.6,618.0
1750016,mppi,1,0.0207,0.0207,1.0,373.3333333333333
2000128,pi,1,0.1598,0.1808,4.4,626.0
2000128,mppi,1,0.1387,0.1443,4.0,684.6666666666666
2250240,pi,1,0.0076,0.0106,0.2,808.0
2250240,mppi,1,0.0000,0.0000,0.0,1000.0
2500096,pi,1,0.4078,0.5292,10.8,51.8
2500096,mppi,1,0.2303,0.3007,5.333333333333333,354.6666666666667
2750208,pi,1,0.1502,0.1668,4.2,617.6
2750208,mppi,1,0.0923,0.0977,2.3333333333333335,685.0
3000064,pi,1,0.1960,0.2058,4.6,621.2
3000064,mppi,1,0.1700,0.1763,3.6666666666666665,682.6666666666666
