step,reward,eval_type,seed
250112,0.0,pi,10
250112,0.1,mppi,10
500224,12.5,pi,10
500224,11.5,mppi,10
750080,8.8,pi,10
750080,18.6,mppi,10
1000192,270.8,pi,10
1000192,315.0,mppi,10
1250048,3.2,pi,10
1250048,1.0,mppi,10
1500160,406.2,pi,10
1500160,413.8,mppi,10
1750016,396.8,pi,10
1750016,456.5,mppi,10
2000128,414.0,pi,10
2000128,445.1,mppi,10
2250240,428.6,pi,10
2250240,456.4,mppi,10
2500096,417.1,pi,10
2500096,444.9,mppi,10
2750208,419.6,pi,10
2750208,446.6,mppi,10
3000064,413.7,pi,10
3000064,446.5,mppi,10
3250176,422.6,pi,10
3250176,457.0,mppi,10
3500032,427.3,pi,10
3500032,441.6,mppi,10
3750144,421.0,pi,10
3750144,487.1,mppi,10
4000000,442.9,pi,10
4000000,483.1,mppi,10
4250112,423.6,pi,10
4250112,474.8,mppi,10
4500224,428.4,pi,10
4500224,472.7,mppi,10
4750080,426.3,pi,10
4750080,478.8,mppi,10
5000192,416.5,pi,10
5000192,469.2,mppi,10
5250048,444.2,pi,10
5250048,463.4,mppi,10
5500160,433.8,pi,10
5500160,466.8,mppi,10
5750016,450.0,pi,10
5750016,498.1,mppi,10
6000128,445.3,pi,10
6000128,488.0,mppi,10
6250240,438.4,pi,10
6250240,485.9,mppi,10
6500096,443.0,pi,10
6500096,476.9,mppi,10
6750208,450.0,pi,10
6750208,424.3,mppi,10
7000064,451.5,pi,10
7000064,493.5,mppi,10
7250176,451.1,pi,10
7250176,477.8,mppi,10
7500032,453.9,pi,10
7500032,469.9,mppi,10
7750144,365.2,pi,10
7750144,483.9,mppi,10
8000000,456.3,pi,10
8000000,483.6,mppi,10
8250112,456.7,pi,10
8250112,484.8,mppi,10
8500224,441.1,pi,10
8500224,485.4,mppi,10
8750080,447.7,pi,10
8750080,480.0,mppi,10
