step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0004,0.1288,12.2,834.0
250112,mppi,1,0.0101,0.1751,15.5,597.625
500224,pi,1,0.2394,0.4108,16.6,128.4
500224,mppi,1,0.2420,0.4249,17.375,93.625
750080,pi,1,0.3062,0.3774,17.4,108.4
750080,mppi,1,0.2556,0.4022,16.625,104.875
1000192,pi,1,0.2698,0.4482,15.4,96.8
1000192,mppi,1,0.2144,0.5018,13.75,82.125
1250048,pi,1,0.2660,0.4686,15.6,95.6
1250048,mppi,1,0.2497,0.4431,16.0,89.375
1500160,pi,1,0.2584,0.4620,15.4,101.8
1500160,mppi,1,0.2594,0.4244,15.75,121.125
1750016,pi,1,0.2688,0.4526,16.4,83.4
1750016,mppi,1,0.2789,0.4060,17.0,108.25
2000128,pi,1,0.2682,0.4076,16.4,118.8
2000128,mppi,1,0.2175,0.3134,15.875,95.25
2250240,pi,1,0.2860,0.4270,17.4,69.8
2250240,mppi,1,0.2886,0.4273,16.875,93.125
2500096,pi,1,0.2798,0.4264,16.8,86.0
2500096,mppi,1,0.2521,0.3700,15.25,209.5
2750208,pi,1,0.2818,0.4368,16.4,91.2
2750208,mppi,1,0.2766,0.4350,16.375,110.875
3000064,pi,1,0.2812,0.4446,16.6,88.2
3000064,mppi,1,0.2979,0.4367,17.5,76.875
3250176,pi,1,0.2776,0.4264,17.4,82.2
3250176,mppi,1,0.2946,0.4396,17.125,83.25
3500032,pi,1,0.2826,0.4456,17.4,77.8
3500032,mppi,1,0.2909,0.4339,17.375,78.0
3750144,pi,1,0.2912,0.4334,17.4,86.6
3750144,mppi,1,0.2761,0.4235,16.875,91.875
4000000,pi,1,0.2776,0.4382,16.4,90.4
4000000,mppi,1,0.2878,0.4323,17.0,93.625
