step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,7,0.0014,0.0014,0.2,816.0
250112,mppi,7,0.0000,0.0006,0.125,1000.0
500224,pi,7,0.4670,0.9070,1.0,67.8
500224,mppi,7,0.4739,0.9295,0.25,67.5
750080,pi,7,0.4878,0.9490,0.2,50.4
750080,mppi,7,0.4945,0.9268,3.875,46.75
1000192,pi,7,0.4870,0.9022,2.8,50.8
1000192,mppi,7,0.4940,0.9434,2.0,52.75
1250048,pi,7,0.4806,0.9266,1.4,51.0
1250048,mppi,7,0.4877,0.8731,6.75,54.5
1500160,pi,7,0.4874,0.9310,1.4,48.0
1500160,mppi,7,0.5179,0.9536,0.5,43.75
1750016,pi,7,0.4964,0.9436,0.8,52.0
1750016,mppi,7,0.5118,0.9509,1.25,45.625
2000128,pi,7,0.4914,0.9584,0.4,47.2
2000128,mppi,7,0.5150,0.9460,0.625,44.125
2250240,pi,7,0.4856,0.9420,0.0,64.0
2250240,mppi,7,0.5137,0.9492,1.0,47.25
2500096,pi,7,0.4956,0.9414,0.6,53.4
2500096,mppi,7,0.5360,0.9596,0.25,46.375
2750208,pi,7,0.4872,0.9568,0.2,48.8
2750208,mppi,7,0.5290,0.9337,2.0,43.0
3000064,pi,7,0.4844,0.9518,0.6,37.0
3000064,mppi,7,0.5163,0.9554,0.25,45.75
3250176,pi,7,0.4916,0.9350,0.4,61.6
3250176,mppi,7,0.5190,0.9505,0.5,47.375
3500032,pi,7,0.5064,0.9446,0.2,55.0
3500032,mppi,7,0.3879,0.7197,0.0,282.375
3750144,pi,7,0.5082,0.9454,0.6,51.2
3750144,mppi,7,0.5248,0.9581,0.125,41.5
4000000,pi,7,0.5050,0.9518,0.2,47.2
4000000,mppi,7,0.5129,0.9500,0.25,47.375
4250112,pi,7,0.4932,0.9550,0.4,45.8
4250112,mppi,7,0.5191,0.9509,0.5,46.625
4500224,pi,7,0.5162,0.9406,0.8,51.8
4500224,mppi,7,0.4563,0.8236,0.875,162.125
4750080,pi,7,0.5100,0.9520,0.0,53.2
4750080,mppi,7,0.5128,0.9516,0.5,48.5
5000192,pi,7,0.5090,0.9540,0.2,46.6
5000192,mppi,7,0.5096,0.9469,1.25,39.625
5250048,pi,7,0.5096,0.9534,0.0,49.4
5250048,mppi,7,0.5221,0.9565,0.125,43.625
5500160,pi,7,0.5150,0.9496,0.6,44.6
5500160,mppi,7,0.5183,0.9552,0.0,46.5
