step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0180,0.1254,4.8,22.4
50176,mppi,0,0.0120,0.0930,9.333333333333334,21.333333333333332
100096,pi,0,0.0004,0.0436,5.8,609.0
100096,mppi,0,0.0010,0.0557,8.0,348.3333333333333
150016,pi,0,0.0004,0.0448,10.8,609.0
150016,mppi,0,0.0010,0.0410,6.333333333333333,22.666666666666668
200192,pi,0,0.0052,0.0515,8.0,22.8
200192,mppi,0,0.0013,0.0460,8.666666666666666,24.333333333333332
250112,pi,0,0.0048,0.0616,7.8,430.6
250112,mppi,0,0.0039,0.0377,8.0,411.3333333333333
300032,pi,0,0.0004,0.0222,7.2,609.0
300032,mppi,0,0.0097,0.0747,4.333333333333333,674.6666666666666
350208,pi,0,0.0010,0.0312,4.8,106.4
350208,mppi,0,0.0090,0.0983,4.333333333333333,27.0
