step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.3726,0.9800,3.6,0.0
50176,mppi,4,0.4490,0.9733,3.6666666666666665,0.0
100096,pi,4,1.0000,1.0000,0.0,0.0
100096,mppi,4,0.9868,1.0000,0.0,0.0
150016,pi,4,1.0000,1.0000,0.0,0.0
150016,mppi,4,0.7353,1.0000,0.0,0.0
200192,pi,4,1.0000,1.0000,0.0,0.0
200192,mppi,4,0.2903,1.0000,0.0,0.0
250112,pi,4,1.0000,1.0000,0.0,0.0
250112,mppi,4,0.9900,1.0000,0.0,0.0
300032,pi,4,1.0000,1.0000,0.0,0.0
300032,mppi,4,0.0087,1.0000,0.0,0.0
350208,pi,4,1.0000,1.0000,0.0,0.0
350208,mppi,4,0.9787,1.0000,0.0,0.0
400128,pi,4,1.0000,1.0000,0.0,0.0
400128,mppi,4,0.6870,1.0000,0.0,0.0
450048,pi,4,0.8506,1.0000,0.0,0.0
450048,mppi,4,0.7480,1.0000,0.0,0.0
500224,pi,4,1.0000,1.0000,0.0,0.0
500224,mppi,4,0.9823,1.0000,0.0,0.0
