step,reward,eval_type,seed
50176,289.4,pi,5
50176,369.0,mppi,5
50176,2295.2,jumpy,5
100096,1937.2,pi,5
100096,2065.8,mppi,5
100096,1648.1,jumpy,5
150016,2855.4,pi,5
150016,2416.1,mppi,5
150016,2903.6,jumpy,5
200192,2852.9,pi,5
200192,2213.7,mppi,5
200192,3229.5,jumpy,5
250112,2736.4,pi,5
250112,1750.6,mppi,5
250112,3612.8,jumpy,5
300032,2462.9,pi,5
300032,2324.6,mppi,5
300032,2213.1,jumpy,5
350208,2761.9,pi,5
350208,2356.9,mppi,5
350208,3074.8,jumpy,5
400128,2816.2,pi,5
400128,2315.5,mppi,5
400128,3146.7,jumpy,5
