step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,1.0000,0.0,1000.0
50176,mppi,1,0.0000,0.9803,4.666666666666667,1000.0
100096,pi,1,0.0000,0.9804,4.2,1000.0
100096,mppi,1,0.0000,0.9800,3.6666666666666665,1000.0
150016,pi,1,0.0000,0.9944,0.8,1000.0
150016,mppi,1,0.0000,0.9860,4.333333333333333,1000.0
200192,pi,1,0.0000,0.9874,2.0,1000.0
200192,mppi,1,0.0000,0.9883,2.0,1000.0
250112,pi,1,0.0000,0.9606,4.2,1000.0
250112,mppi,1,0.0000,0.9940,1.0,1000.0
300032,pi,1,0.0000,0.9870,1.4,1000.0
300032,mppi,1,0.0000,0.9790,2.0,1000.0
350208,pi,1,0.0000,0.9410,5.8,1000.0
350208,mppi,1,0.0000,0.9720,7.666666666666667,1000.0
400128,pi,1,0.0000,0.9436,5.0,1000.0
400128,mppi,1,0.0000,0.9213,9.333333333333334,1000.0
450048,pi,1,0.0000,0.9218,5.4,1000.0
450048,mppi,1,0.0000,0.8730,9.0,1000.0
500224,pi,1,0.0000,0.9920,1.2,1000.0
500224,mppi,1,0.0000,0.9700,6.333333333333333,1000.0
