step,reward,eval_type,seed
50176,38.1,pi,5
50176,22.7,mppi,5
100096,380.3,pi,5
100096,506.8,mppi,5
150016,573.8,pi,5
150016,457.0,mppi,5
200192,469.0,pi,5
200192,318.6,mppi,5
250112,44.9,pi,5
250112,63.3,mppi,5
300032,285.4,pi,5
300032,519.3,mppi,5
350208,704.2,pi,5
350208,691.7,mppi,5
400128,696.6,pi,5
400128,636.4,mppi,5
450048,715.3,pi,5
450048,738.4,mppi,5
500224,307.6,pi,5
500224,76.9,mppi,5
550144,712.2,pi,5
550144,711.2,mppi,5
600064,307.3,pi,5
600064,465.2,mppi,5
650240,731.7,pi,5
650240,740.2,mppi,5
700160,588.6,pi,5
700160,734.8,mppi,5
750080,600.9,pi,5
750080,655.3,mppi,5
800000,232.8,pi,5
800000,201.9,mppi,5
850176,715.4,pi,5
850176,737.0,mppi,5
900096,726.4,pi,5
900096,740.9,mppi,5
950016,738.9,pi,5
950016,687.8,mppi,5
1000192,749.3,pi,5
1000192,750.9,mppi,5
