step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.9224,10.0,1000.0
50176,mppi,1,0.0000,0.9737,5.666666666666667,1000.0
100096,pi,1,0.0000,0.9752,4.0,1000.0
100096,mppi,1,0.0000,1.0000,0.0,1000.0
150016,pi,1,0.0000,0.9724,6.6,1000.0
150016,mppi,1,0.0000,0.9573,10.666666666666666,1000.0
200192,pi,1,0.0000,0.9898,3.0,1000.0
200192,mppi,1,0.0000,0.9323,13.0,1000.0
250112,pi,1,0.0000,0.9896,1.8,1000.0
250112,mppi,1,0.0000,0.9893,2.0,1000.0
300032,pi,1,0.0000,0.9970,0.6,1000.0
300032,mppi,1,0.0000,0.9920,2.0,1000.0
350208,pi,1,0.0000,0.9902,2.2,1000.0
350208,mppi,1,0.0000,0.9743,4.666666666666667,1000.0
