step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.9986,0.4,1000.0
50176,mppi,1,0.0000,0.9990,1.0,1000.0
100096,pi,1,0.5306,0.9952,1.2,310.4
100096,mppi,1,0.9450,1.0000,0.0,21.333333333333332
150016,pi,1,0.9182,0.9956,1.2,26.6
150016,mppi,1,0.5820,0.9190,31.666666666666668,345.3333333333333
200192,pi,1,0.9656,0.9980,0.4,34.4
200192,mppi,1,0.9580,1.0000,0.0,35.333333333333336
250112,pi,1,0.9486,0.9952,0.6,51.4
250112,mppi,1,0.9607,0.9983,0.6666666666666666,39.333333333333336
300032,pi,1,0.9800,0.9998,0.2,20.0
300032,mppi,1,0.9507,0.9950,0.6666666666666666,48.333333333333336
350208,pi,1,0.9762,0.9982,0.4,23.8
350208,mppi,1,0.9613,0.9913,0.3333333333333333,38.333333333333336
400128,pi,1,0.9694,1.0000,0.0,26.6
400128,mppi,1,0.6423,0.9973,0.6666666666666666,357.6666666666667
450048,pi,1,0.9520,0.9912,0.6,42.2
450048,mppi,1,0.9670,0.9913,1.0,32.666666666666664
500224,pi,1,0.9604,0.9968,0.6,39.6
500224,mppi,1,0.9897,1.0000,0.0,10.333333333333334
550144,pi,1,0.9840,1.0000,0.0,14.0
550144,mppi,1,0.9840,0.9997,0.3333333333333333,16.0
600064,pi,1,0.9662,0.9990,0.6,28.6
600064,mppi,1,0.9623,0.9873,1.6666666666666667,37.666666666666664
650240,pi,1,0.9760,0.9982,0.6,20.4
650240,mppi,1,0.9713,0.9943,0.6666666666666666,28.666666666666668
700160,pi,1,0.9466,0.9882,0.8,53.0
700160,mppi,1,0.7537,0.9917,1.0,42.0
750080,pi,1,0.9664,0.9978,0.6,33.6
750080,mppi,1,0.9747,0.9980,0.6666666666666666,25.333333333333332
800000,pi,1,0.9752,0.9976,0.2,24.8
800000,mppi,1,0.9693,0.9983,0.3333333333333333,30.666666666666668
850176,pi,1,0.9738,0.9910,0.2,26.2
850176,mppi,1,0.9817,0.9977,0.3333333333333333,18.333333333333332
900096,pi,1,0.9614,0.9942,0.6,36.6
900096,mppi,1,0.9777,0.9983,0.6666666666666666,22.333333333333332
950016,pi,1,0.9664,0.9976,0.6,30.8
950016,mppi,1,0.9643,0.9940,1.0,35.666666666666664
1000192,pi,1,0.9756,0.9996,0.2,24.4
1000192,mppi,1,0.9803,0.9990,0.3333333333333333,17.0
