step,reward,eval_type,seed
50176,415.0,pi,7
50176,349.0,mppi,7
100096,577.4,pi,7
100096,780.0,mppi,7
150016,945.6,pi,7
150016,970.8,mppi,7
200192,963.8,pi,7
200192,972.2,mppi,7
250112,984.8,pi,7
250112,986.1,mppi,7
300032,960.4,pi,7
300032,957.9,mppi,7
350208,949.0,pi,7
350208,984.5,mppi,7
400128,980.4,pi,7
400128,982.0,mppi,7
450048,972.6,pi,7
450048,974.5,mppi,7
500224,977.8,pi,7
500224,990.9,mppi,7
550144,944.6,pi,7
550144,984.6,mppi,7
600064,944.8,pi,7
600064,982.0,mppi,7
650240,970.6,pi,7
650240,989.0,mppi,7
700160,977.2,pi,7
700160,987.2,mppi,7
750080,982.0,pi,7
750080,986.5,mppi,7
800000,961.8,pi,7
800000,986.6,mppi,7
850176,977.6,pi,7
850176,988.0,mppi,7
900096,979.2,pi,7
900096,986.2,mppi,7
950016,959.0,pi,7
950016,981.2,mppi,7
1000192,984.4,pi,7
1000192,989.0,mppi,7
