step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,3,0.0032,0.0418,0.8,456.2
250112,mppi,3,0.0534,0.1530,6.25,239.0
500224,pi,3,0.2226,0.2566,11.4,238.2
500224,mppi,3,0.1294,0.1544,7.125,520.125
750080,pi,3,0.3108,0.5058,10.6,69.8
750080,mppi,3,0.4069,0.5181,10.375,64.25
1000192,pi,3,0.4346,0.4778,11.8,38.8
1000192,mppi,3,0.4317,0.4781,11.625,54.0
1250048,pi,3,0.4494,0.4768,11.8,40.0
1250048,mppi,3,0.4363,0.5098,11.0,45.375
1500160,pi,3,0.4298,0.4794,11.4,48.6
1500160,mppi,3,0.4434,0.5242,15.0,45.625
1750016,pi,3,0.4370,0.5230,11.0,50.0
1750016,mppi,3,0.4507,0.5385,10.625,38.125
2000128,pi,3,0.3554,0.4002,9.2,240.2
2000128,mppi,3,0.4475,0.5021,11.375,45.5
