step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,9,0.0000,0.9976,0.4,1000.0
50176,mppi,9,0.0000,0.3366,0.875,1000.0
100096,pi,9,0.0356,0.9882,2.2,216.2
100096,mppi,9,0.5906,0.9971,0.5,86.375
150016,pi,9,0.4406,0.9936,1.0,441.4
150016,mppi,9,0.3322,0.9990,0.25,651.5
200192,pi,9,0.9426,0.9986,0.4,57.4
200192,mppi,9,0.8919,0.9952,0.625,82.125
250112,pi,9,0.3588,1.0000,0.0,611.4
250112,mppi,9,0.3558,0.9984,0.375,643.0
300032,pi,9,0.0000,0.9972,0.6,1000.0
300032,mppi,9,0.0854,0.9896,3.875,914.625
350208,pi,9,0.3560,0.9956,1.0,352.6
350208,mppi,9,0.0000,0.9959,0.5,1000.0
400128,pi,9,0.9336,0.9990,0.4,54.8
400128,mppi,9,0.8264,0.9809,3.5,58.375
450048,pi,9,0.9390,0.9986,0.4,61.0
450048,mppi,9,0.9420,0.9975,0.5,58.0
500224,pi,9,0.9386,0.9952,1.2,61.4
500224,mppi,9,0.7009,0.7474,1.25,292.375
550144,pi,9,0.8942,0.9888,1.0,50.4
550144,mppi,9,0.9484,0.9949,0.75,51.625
600064,pi,9,0.0000,0.0854,2.8,1000.0
600064,mppi,9,0.0000,0.9911,0.75,1000.0
650240,pi,9,0.0000,0.9946,0.6,1000.0
650240,mppi,9,0.0000,0.9964,0.625,1000.0
700160,pi,9,0.9444,0.9972,0.6,55.6
700160,mppi,9,0.9445,0.9910,0.75,55.5
750080,pi,9,0.0000,0.9984,0.2,1000.0
750080,mppi,9,0.0000,0.9886,1.0,1000.0
800000,pi,9,0.9452,0.9960,0.8,54.8
800000,mppi,9,0.9489,0.9956,0.75,49.625
850176,pi,9,0.0000,0.9790,0.6,1000.0
850176,mppi,9,0.0013,0.9955,0.625,881.25
900096,pi,9,0.0000,0.9932,0.8,1000.0
900096,mppi,9,0.0000,0.9983,0.375,1000.0
950016,pi,9,0.0000,0.9948,0.4,1000.0
950016,mppi,9,0.0000,1.0000,0.0,1000.0
1000192,pi,9,0.0030,1.0000,0.0,806.6
1000192,mppi,9,0.0000,0.9915,0.75,1000.0
