step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0036,0.0036,1.0,891.8
50176,mppi,1,0.0000,0.0000,0.0,1000.0
100096,pi,1,0.0000,0.0000,0.0,1000.0
100096,mppi,1,0.0000,0.0000,0.0,1000.0
150016,pi,1,0.0074,0.0074,0.4,789.6
150016,mppi,1,0.0000,0.0000,0.0,1000.0
200192,pi,1,0.0016,0.0016,0.2,928.4
200192,mppi,1,0.0163,0.0163,0.3333333333333333,938.0
250112,pi,1,0.0096,0.0096,0.6,913.6
250112,mppi,1,0.0123,0.0123,0.3333333333333333,941.0
300032,pi,1,0.0000,0.0000,0.0,1000.0
300032,mppi,1,0.0000,0.0000,0.0,1000.0
350208,pi,1,0.0300,0.0300,1.2,718.8
350208,mppi,1,0.0000,0.0000,0.0,1000.0
400128,pi,1,0.0416,0.0416,0.4,889.8
400128,mppi,1,0.0503,0.0503,1.0,787.6666666666666
450048,pi,1,0.0306,0.0306,1.4,775.0
450048,mppi,1,0.0467,0.0467,1.0,761.6666666666666
500224,pi,1,0.0366,0.0366,1.0,606.2
500224,mppi,1,0.0867,0.0867,1.6666666666666667,514.3333333333334
