step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.0000,0.0,1000.0
50176,mppi,1,0.0000,0.0000,0.0,1000.0
100096,pi,1,0.0000,0.0000,0.0,1000.0
100096,mppi,1,0.0000,0.0000,0.0,1000.0
150016,pi,1,0.0000,0.0000,0.0,1000.0
150016,mppi,1,0.0000,0.0000,0.0,1000.0
200192,pi,1,0.0000,0.0000,0.0,1000.0
200192,mppi,1,0.0000,0.0000,0.0,1000.0
250112,pi,1,0.2340,0.2340,0.0,766.0
250112,mppi,1,0.4067,0.4067,0.0,593.3333333333334
300032,pi,1,0.0000,0.0000,0.0,1000.0
300032,mppi,1,0.2613,0.2613,13.666666666666666,722.0
350208,pi,1,0.0000,0.0000,0.0,1000.0
350208,mppi,1,0.0000,0.0000,0.0,1000.0
400128,pi,1,0.0000,0.0000,0.0,1000.0
400128,mppi,1,0.0000,0.0000,0.0,1000.0
450048,pi,1,0.0000,0.0000,0.0,1000.0
450048,mppi,1,0.9000,0.9000,16.0,82.33333333333333
500224,pi,1,0.0000,0.0000,0.0,1000.0
500224,mppi,1,0.0000,0.0000,0.0,1000.0
