step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.5490,17.0,1000.0
50176,mppi,2,0.0000,0.7233,20.666666666666668,1000.0
100096,pi,2,0.0000,0.7814,10.4,1000.0
100096,mppi,2,0.0000,0.9253,7.0,1000.0
150016,pi,2,0.0000,0.4676,9.2,1000.0
150016,mppi,2,0.0000,0.6183,6.333333333333333,1000.0
200192,pi,2,0.0000,0.6416,4.8,1000.0
200192,mppi,2,0.0000,0.9383,1.0,1000.0
250112,pi,2,0.0000,0.8950,4.8,1000.0
250112,mppi,2,0.0000,0.7127,11.666666666666666,1000.0
300032,pi,2,0.0000,0.9952,0.2,1000.0
300032,mppi,2,0.0000,0.4980,29.333333333333332,1000.0
