step,reward,eval_type,seed
50176,381.6,pi,2
50176,470.2,mppi,2
100096,882.0,pi,2
100096,967.8,mppi,2
150016,953.0,pi,2
150016,985.0,mppi,2
200192,983.6,pi,2
200192,979.2,mppi,2
250112,984.8,pi,2
250112,976.1,mppi,2
300032,976.4,pi,2
300032,988.9,mppi,2
350208,979.8,pi,2
350208,987.0,mppi,2
400128,981.6,pi,2
400128,987.5,mppi,2
450048,990.6,pi,2
450048,987.0,mppi,2
500224,990.2,pi,2
500224,986.8,mppi,2
550144,980.4,pi,2
550144,988.1,mppi,2
600064,986.4,pi,2
600064,986.0,mppi,2
650240,985.0,pi,2
650240,993.2,mppi,2
700160,981.2,pi,2
700160,984.2,mppi,2
750080,979.2,pi,2
750080,991.4,mppi,2
800000,985.2,pi,2
800000,986.8,mppi,2
850176,979.8,pi,2
850176,985.4,mppi,2
900096,988.2,pi,2
900096,989.9,mppi,2
950016,979.4,pi,2
950016,990.4,mppi,2
1000192,973.8,pi,2
1000192,987.6,mppi,2
