step,reward,eval_type,seed
50176,161.2,pi,5
50176,3.7,mppi,5
100096,589.8,pi,5
100096,785.0,mppi,5
150016,890.6,pi,5
150016,732.3,mppi,5
200192,974.0,pi,5
200192,982.7,mppi,5
250112,985.8,pi,5
250112,984.3,mppi,5
300032,980.0,pi,5
300032,981.3,mppi,5
350208,988.2,pi,5
350208,987.0,mppi,5
400128,962.0,pi,5
400128,978.7,mppi,5
450048,975.4,pi,5
450048,983.3,mppi,5
500224,981.8,pi,5
500224,975.3,mppi,5
550144,953.0,pi,5
550144,979.7,mppi,5
600064,965.4,pi,5
600064,979.3,mppi,5
650240,945.8,pi,5
650240,986.3,mppi,5
700160,956.6,pi,5
700160,988.0,mppi,5
750080,969.6,pi,5
750080,990.0,mppi,5
800000,932.0,pi,5
800000,991.3,mppi,5
850176,929.2,pi,5
850176,969.3,mppi,5
900096,972.0,pi,5
900096,976.7,mppi,5
950016,962.6,pi,5
950016,988.3,mppi,5
1000192,974.6,pi,5
1000192,976.0,mppi,5
