step,reward,eval_type,seed
250112,5.8,pi,5
250112,0.0,mppi,5
500224,0.1,pi,5
500224,0.3,mppi,5
750080,3.6,pi,5
750080,0.0,mppi,5
1000192,16.9,pi,5
1000192,19.9,mppi,5
1250048,280.2,pi,5
1250048,335.6,mppi,5
1500160,316.8,pi,5
1500160,347.7,mppi,5
1750016,278.6,pi,5
1750016,366.3,mppi,5
2000128,285.4,pi,5
2000128,433.1,mppi,5
2250240,403.1,pi,5
2250240,537.4,mppi,5
2500096,460.4,pi,5
2500096,496.8,mppi,5
2750208,487.4,pi,5
2750208,547.1,mppi,5
3000064,459.8,pi,5
3000064,546.8,mppi,5
3250176,490.1,pi,5
3250176,538.1,mppi,5
3500032,522.9,pi,5
3500032,530.2,mppi,5
3750144,486.2,pi,5
3750144,533.7,mppi,5
4000000,504.3,pi,5
4000000,541.8,mppi,5
4250112,479.3,pi,5
4250112,561.1,mppi,5
4500224,516.9,pi,5
4500224,549.0,mppi,5
4750080,531.5,pi,5
4750080,556.2,mppi,5
5000192,534.7,pi,5
5000192,568.5,mppi,5
5250048,534.4,pi,5
5250048,584.3,mppi,5
5500160,544.8,pi,5
5500160,567.7,mppi,5
5750016,537.8,pi,5
5750016,572.8,mppi,5
6000128,434.6,pi,5
6000128,594.5,mppi,5
6250240,551.3,pi,5
6250240,585.7,mppi,5
6500096,554.7,pi,5
6500096,587.9,mppi,5
6750208,542.2,pi,5
6750208,583.9,mppi,5
7000064,554.8,pi,5
7000064,600.5,mppi,5
7250176,551.6,pi,5
7250176,573.6,mppi,5
7500032,428.4,pi,5
7500032,402.0,mppi,5
7750144,565.7,pi,5
7750144,596.7,mppi,5
8000000,553.3,pi,5
8000000,603.6,mppi,5
8250112,436.4,pi,5
8250112,607.5,mppi,5
8500224,447.2,pi,5
8500224,595.8,mppi,5
8750080,577.9,pi,5
8750080,602.9,mppi,5
9000192,553.9,pi,5
9000192,604.3,mppi,5
9250048,559.8,pi,5
9250048,593.1,mppi,5
9500160,563.2,pi,5
9500160,590.0,mppi,5
9750016,576.5,pi,5
9750016,613.3,mppi,5
10000128,569.2,pi,5
10000128,586.7,mppi,5
