step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,3,0.0000,0.0008,0.2,1000.0
250112,mppi,3,0.0052,0.0276,1.25,647.625
500224,pi,3,0.3918,0.4900,10.2,59.0
500224,mppi,3,0.3825,0.4712,10.125,71.75
750080,pi,3,0.4904,0.6166,8.8,53.8
750080,mppi,3,0.4733,0.7179,6.25,52.375
1000192,pi,3,0.4426,0.9196,1.2,50.6
1000192,mppi,3,0.4740,0.7386,6.125,47.0
1250048,pi,3,0.4664,0.9088,5.2,45.6
1250048,mppi,3,0.4718,0.9420,2.0,46.375
1500160,pi,3,0.4734,0.9024,5.0,63.6
1500160,mppi,3,0.4972,0.9526,0.5,49.5
1750016,pi,3,0.3952,0.9550,0.0,50.4
1750016,mppi,3,0.4883,0.9505,1.75,41.0
2000128,pi,3,0.3716,0.7290,5.4,238.2
2000128,mppi,3,0.4801,0.9283,3.875,45.75
2250240,pi,3,0.4248,0.9552,0.0,52.2
2250240,mppi,3,0.4567,0.9519,0.625,50.625
2500096,pi,3,0.4540,0.9396,2.0,52.6
2500096,mppi,3,0.4613,0.9323,4.125,47.625
2750208,pi,3,0.4204,0.9500,0.2,46.4
2750208,mppi,3,0.4027,0.9594,0.0,47.25
3000064,pi,3,0.4758,0.8960,7.6,54.0
3000064,mppi,3,0.4614,0.9410,2.25,49.125
3250176,pi,3,0.4222,0.9582,1.2,45.8
3250176,mppi,3,0.4359,0.9534,0.375,49.375
3500032,pi,3,0.4608,0.9174,5.0,58.4
3500032,mppi,3,0.4768,0.9147,4.375,52.125
3750144,pi,3,0.4402,0.9560,0.4,50.0
3750144,mppi,3,0.4594,0.9544,0.5,49.75
4000000,pi,3,0.4476,0.9426,0.8,58.0
4000000,mppi,3,0.4822,0.9384,2.0,53.75
4250112,pi,3,0.4474,0.9462,0.6,48.4
4250112,mppi,3,0.5026,0.9144,6.125,47.5
4500224,pi,3,0.4574,0.9320,2.8,46.2
4500224,mppi,3,0.4862,0.9403,3.125,43.5
4750080,pi,3,0.4660,0.9062,7.8,43.0
4750080,mppi,3,0.4890,0.9487,1.5,46.625
5000192,pi,3,0.4404,0.9486,1.0,51.2
5000192,mppi,3,0.4797,0.9346,4.625,42.875
5250048,pi,3,0.4504,0.9324,3.2,49.4
5250048,mppi,3,0.4914,0.9380,3.0,46.625
5500160,pi,3,0.4422,0.9490,1.8,47.0
5500160,mppi,3,0.5085,0.9323,3.125,48.375
5750016,pi,3,0.4402,0.9520,0.6,49.4
5750016,mppi,3,0.4610,0.9495,0.375,52.75
6000128,pi,3,0.4140,0.9458,0.2,53.4
6000128,mppi,3,0.5098,0.9004,7.125,51.0
6250240,pi,3,0.4510,0.9510,0.6,50.4
6250240,mppi,3,0.4904,0.9289,3.75,50.0
6500096,pi,3,0.4414,0.9554,0.8,50.6
6500096,mppi,3,0.5379,0.8884,9.125,47.875
6750208,pi,3,0.4460,0.9518,1.0,41.0
6750208,mppi,3,0.5200,0.8920,8.75,43.25
7000064,pi,3,0.4286,0.9536,0.4,49.4
7000064,mppi,3,0.4065,0.8245,2.5,159.625
7250176,pi,3,0.4178,0.9468,0.4,57.8
7250176,mppi,3,0.5214,0.9100,7.25,43.5
7500032,pi,3,0.4458,0.9518,0.6,49.6
7500032,mppi,3,0.5261,0.9255,4.75,45.5
7750144,pi,3,0.4268,0.9590,0.8,41.2
7750144,mppi,3,0.4855,0.9235,4.375,52.0
8000000,pi,3,0.4352,0.9510,0.2,52.8
8000000,mppi,3,0.4815,0.9366,3.5,44.0
8250112,pi,3,0.4304,0.9562,0.2,46.8
8250112,mppi,3,0.4964,0.9363,3.375,44.0
8500224,pi,3,0.4310,0.9512,1.0,47.2
8500224,mppi,3,0.5483,0.8934,9.5,46.375
8750080,pi,3,0.4280,0.9524,0.4,58.2
8750080,mppi,3,0.5725,0.8988,9.125,40.875
9000192,pi,3,0.4362,0.9386,2.4,50.4
9000192,mppi,3,0.4914,0.7966,7.125,158.875
9250048,pi,3,0.4348,0.9492,0.2,55.0
9250048,mppi,3,0.5052,0.9341,3.5,45.625
9500160,pi,3,0.4144,0.9506,0.2,51.6
9500160,mppi,3,0.4815,0.9461,0.375,55.875
9750016,pi,3,0.4214,0.9560,0.0,48.6
9750016,mppi,3,0.4526,0.9567,0.5,47.125
10000128,pi,3,0.4324,0.9530,0.6,48.8
10000128,mppi,3,0.4718,0.7996,5.0,168.875
