step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0100,0.0260,1.0,8.0
50176,mppi,1,0.0063,0.0250,1.0,12.0
100096,pi,1,0.0160,0.0340,1.0,8.0
100096,mppi,1,0.0000,0.0383,1.0,1000.0
150016,pi,1,0.0000,0.0150,1.0,1000.0
150016,mppi,1,0.0000,0.0137,1.0,1000.0
200192,pi,1,0.0000,0.0150,1.0,1000.0
200192,mppi,1,0.0047,0.0257,1.0,343.3333333333333
250112,pi,1,0.0000,0.0140,1.0,1000.0
250112,mppi,1,0.0027,0.0337,1.0,675.6666666666666
300032,pi,1,0.0080,0.0360,1.0,21.0
300032,mppi,1,0.0010,0.0193,1.0,670.6666666666666
350208,pi,1,0.0000,0.0470,1.0,1000.0
350208,mppi,1,0.0070,0.0293,1.0,341.0
400128,pi,1,0.0000,0.0270,1.0,1000.0
400128,mppi,1,0.0000,0.0133,1.0,1000.0
