step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.8144,1.0000,0.0,0.0
50176,mppi,1,0.6907,1.0000,0.0,0.0
100096,pi,1,1.0000,1.0000,0.0,0.0
100096,mppi,1,0.9983,1.0000,0.0,0.0
150016,pi,1,0.8766,1.0000,0.0,0.0
150016,mppi,1,0.7070,1.0000,0.0,0.0
200192,pi,1,1.0000,1.0000,0.0,0.0
200192,mppi,1,0.8757,1.0000,0.0,0.0
250112,pi,1,1.0000,1.0000,0.0,0.0
250112,mppi,1,0.8313,0.9493,5.0,0.0
300032,pi,1,1.0000,1.0000,0.0,0.0
300032,mppi,1,0.9833,1.0000,0.0,0.0
350208,pi,1,0.4716,0.8702,11.6,0.0
350208,mppi,1,0.0073,1.0000,0.0,0.0
400128,pi,1,1.0000,1.0000,0.0,0.0
400128,mppi,1,0.8013,1.0000,0.0,0.0
450048,pi,1,1.0000,1.0000,0.0,0.0
450048,mppi,1,0.5960,1.0000,0.0,0.0
500224,pi,1,0.7554,1.0000,0.0,0.0
500224,mppi,1,0.5220,1.0000,0.0,0.0
