step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.5210,0.9998,0.2,0.0
50176,mppi,2,0.2990,0.9807,1.3333333333333333,0.0
100096,pi,2,0.9976,1.0000,0.0,0.0
100096,mppi,2,0.8064,1.0000,0.0,0.0
150016,pi,2,1.0000,1.0000,0.0,0.0
150016,mppi,2,0.8537,1.0000,0.0,0.0
200192,pi,2,1.0000,1.0000,0.0,0.0
200192,mppi,2,0.9560,1.0000,0.0,0.0
250112,pi,2,0.8500,1.0000,0.0,0.0
250112,mppi,2,0.8929,1.0000,0.0,0.0
300032,pi,2,0.9988,1.0000,0.0,0.0
300032,mppi,2,0.9943,1.0000,0.0,0.0
350208,pi,2,1.0000,1.0000,0.0,0.0
350208,mppi,2,0.9673,1.0000,0.0,0.0
400128,pi,2,1.0000,1.0000,0.0,0.0
400128,mppi,2,0.9227,1.0000,0.0,0.0
450048,pi,2,1.0000,1.0000,0.0,0.0
450048,mppi,2,0.6547,1.0000,0.0,0.0
500224,pi,2,0.4064,0.9726,2.8,0.0
500224,mppi,2,0.4450,0.9510,5.333333333333333,0.0
