step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.0000,0.6234,3.4,1000.0
50176,mppi,3,0.0000,0.9817,0.6666666666666666,1000.0
100096,pi,3,0.0000,0.9922,0.6,1000.0
100096,mppi,3,0.0000,0.9990,0.0,1000.0
150016,pi,3,0.0000,0.9990,0.0,1000.0
150016,mppi,3,0.0010,0.9990,0.0,993.6666666666666
200192,pi,3,0.0000,0.0194,1.4,1000.0
200192,mppi,3,0.0000,0.7237,32.333333333333336,1000.0
250112,pi,3,0.8826,0.9990,0.0,89.0
250112,mppi,3,0.0887,0.3573,2.6666666666666665,391.3333333333333
300032,pi,3,0.0000,0.9990,0.0,1000.0
300032,mppi,3,0.0000,0.8747,12.0,1000.0
350208,pi,3,0.0000,0.0282,2.0,1000.0
350208,mppi,3,0.0000,0.1317,22.333333333333332,1000.0
400128,pi,3,0.0000,0.0074,1.2,1000.0
400128,mppi,3,0.0000,0.0710,10.0,1000.0
450048,pi,3,0.8540,0.9976,0.6,93.8
450048,mppi,3,0.4047,0.9350,5.0,66.33333333333333
500224,pi,3,0.9260,0.9990,0.0,72.4
500224,mppi,3,0.9077,0.9990,0.0,92.33333333333333
