step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0142,0.0142,5.2,409.0
50176,mppi,1,0.0063,0.0063,1.0,339.0
100096,pi,1,0.4142,0.4142,82.6,16.4
100096,mppi,1,0.0537,0.0537,7.0,347.3333333333333
150016,pi,1,0.3824,0.3824,75.2,22.4
150016,mppi,1,0.0140,0.0140,2.6666666666666665,347.6666666666667
200192,pi,1,0.4492,0.4492,61.2,16.4
200192,mppi,1,0.1087,0.1087,27.666666666666668,12.333333333333334
250112,pi,1,0.2624,0.2624,32.2,22.2
250112,mppi,1,0.3837,0.3837,54.0,44.0
300032,pi,1,0.4164,0.4164,86.4,16.2
300032,mppi,1,0.3310,0.3310,65.66666666666667,23.0
350208,pi,1,0.4950,0.4950,62.0,19.2
350208,mppi,1,0.3840,0.3840,61.666666666666664,22.666666666666668
400128,pi,1,0.3692,0.3692,55.6,229.2
400128,mppi,1,0.4813,0.4813,65.66666666666667,23.0
