step,reward,eval_type,seed
250112,9.8,pi,1
250112,7.1,mppi,1
500224,276.6,pi,1
500224,268.9,mppi,1
750080,302.6,pi,1
750080,299.9,mppi,1
1000192,279.3,pi,1
1000192,301.7,mppi,1
1250048,307.4,pi,1
1250048,311.0,mppi,1
1500160,307.6,pi,1
1500160,311.9,mppi,1
1750016,313.8,pi,1
1750016,315.4,mppi,1
2000128,308.1,pi,1
2000128,319.4,mppi,1
2000128,-1.0,restart_1,1
2250240,240.5,pi,1
2250240,308.1,mppi,1
2500096,310.7,pi,1
2500096,320.7,mppi,1
2750208,300.2,pi,1
2750208,325.5,mppi,1
3000064,304.5,pi,1
3000064,326.1,mppi,1
3250176,312.5,pi,1
3250176,325.8,mppi,1
3500032,309.3,pi,1
3500032,319.9,mppi,1
3750144,314.7,pi,1
3750144,328.3,mppi,1
4000000,319.1,pi,1
4000000,319.7,mppi,1
4250112,315.8,pi,1
4250112,329.0,mppi,1
4250112,-1.0,restart_2,1
4500224,310.7,pi,1
4500224,325.2,mppi,1
4750080,305.7,pi,1
4750080,323.3,mppi,1
5000192,309.9,pi,1
5000192,328.6,mppi,1
5250048,311.8,pi,1
5250048,329.5,mppi,1
5500160,249.7,pi,1
5500160,333.4,mppi,1
5750016,320.5,pi,1
5750016,335.1,mppi,1
6000128,311.6,pi,1
6000128,330.6,mppi,1
6250240,319.1,pi,1
6250240,332.5,mppi,1
6250240,-1.0,restart_3,1
6500096,313.5,pi,1
6500096,320.0,mppi,1
6750208,304.5,pi,1
6750208,319.4,mppi,1
7000064,255.7,pi,1
7000064,326.9,mppi,1
