step,reward,eval_type,seed
50176,1.6,pi,0
50176,4.1,mppi,0
50176,7.5,jumpy,0
100096,1.9,pi,0
100096,2.6,mppi,0
100096,7.2,jumpy,0
150016,5.8,pi,0
150016,4.0,mppi,0
150016,8.0,jumpy,0
200192,1.5,pi,0
200192,3.6,mppi,0
200192,8.3,jumpy,0
250112,1.6,pi,0
250112,3.7,mppi,0
250112,8.9,jumpy,0
300032,3.8,pi,0
300032,3.4,mppi,0
300032,7.1,jumpy,0
350208,3.0,pi,0
350208,7.9,mppi,0
350208,7.1,jumpy,0
400128,3.9,pi,0
400128,3.8,mppi,0
400128,8.3,jumpy,0
450048,2.0,pi,0
450048,2.8,mppi,0
450048,9.8,jumpy,0
500224,1.5,pi,0
500224,4.2,mppi,0
500224,8.4,jumpy,0
550144,6.9,pi,0
550144,4.5,mppi,0
550144,6.8,jumpy,0
600064,4.1,pi,0
600064,5.4,mppi,0
600064,7.6,jumpy,0
650240,1.9,pi,0
650240,2.2,mppi,0
650240,9.3,jumpy,0
700160,1.5,pi,0
700160,6.1,mppi,0
700160,5.7,jumpy,0
750080,1.6,pi,0
750080,7.1,mppi,0
750080,8.8,jumpy,0
800000,2.7,pi,0
800000,3.8,mppi,0
800000,7.0,jumpy,0
850176,1.6,pi,0
850176,5.6,mppi,0
850176,5.6,jumpy,0
900096,4.7,pi,0
900096,5.3,mppi,0
900096,5.2,jumpy,0
950016,3.3,pi,0
950016,3.3,mppi,0
950016,3.5,jumpy,0
1000192,3.3,pi,0
1000192,3.3,mppi,0
1000192,2.3,jumpy,0
1050112,3.3,pi,0
1050112,3.3,mppi,0
1050112,2.5,jumpy,0
1100032,3.3,pi,0
1100032,3.3,mppi,0
1100032,3.0,jumpy,0
1150208,3.3,pi,0
1150208,3.3,mppi,0
1150208,3.3,jumpy,0
1200128,3.3,pi,0
1200128,3.3,mppi,0
1200128,2.9,jumpy,0
1250048,3.3,pi,0
1250048,3.3,mppi,0
1250048,4.1,jumpy,0
1300224,3.3,pi,0
1300224,3.3,mppi,0
1300224,3.0,jumpy,0
1350144,3.3,pi,0
1350144,3.3,mppi,0
1350144,3.4,jumpy,0
1400064,3.3,pi,0
1400064,3.3,mppi,0
1400064,2.1,jumpy,0
1450240,3.3,pi,0
1450240,3.3,mppi,0
1450240,2.7,jumpy,0
1500160,3.3,pi,0
1500160,3.3,mppi,0
1500160,2.6,jumpy,0
