step,reward,eval_type,seed
50176,13.0,pi,1
50176,27.7,mppi,1
50176,32.0,jumpy,1
100096,11.2,pi,1
100096,17.0,mppi,1
100096,33.3,jumpy,1
150016,7.2,pi,1
150016,41.3,mppi,1
150016,39.9,jumpy,1
200192,19.3,pi,1
200192,24.0,mppi,1
200192,35.2,jumpy,1
250112,15.3,pi,1
250112,15.3,mppi,1
250112,16.7,jumpy,1
300032,15.3,pi,1
300032,15.3,mppi,1
300032,15.7,jumpy,1
350208,15.3,pi,1
350208,15.3,mppi,1
350208,16.5,jumpy,1
400128,15.3,pi,1
400128,15.3,mppi,1
400128,14.9,jumpy,1
450048,15.3,pi,1
450048,15.3,mppi,1
450048,12.2,jumpy,1
500224,15.3,pi,1
500224,15.3,mppi,1
500224,13.5,jumpy,1
550144,15.3,pi,1
550144,15.3,mppi,1
550144,17.4,jumpy,1
600064,15.3,pi,1
600064,15.3,mppi,1
600064,18.1,jumpy,1
650240,15.3,pi,1
650240,15.3,mppi,1
650240,17.3,jumpy,1
700160,15.3,pi,1
700160,15.3,mppi,1
700160,17.0,jumpy,1
750080,15.3,pi,1
750080,15.3,mppi,1
750080,14.6,jumpy,1
800000,15.3,pi,1
800000,15.3,mppi,1
800000,15.8,jumpy,1
850176,15.3,pi,1
850176,15.3,mppi,1
850176,19.5,jumpy,1
900096,15.3,pi,1
900096,15.3,mppi,1
900096,12.6,jumpy,1
950016,15.3,pi,1
950016,15.3,mppi,1
950016,15.9,jumpy,1
1000192,15.3,pi,1
1000192,15.3,mppi,1
1000192,17.9,jumpy,1
1050112,15.3,pi,1
1050112,15.3,mppi,1
1050112,14.2,jumpy,1
1100032,15.3,pi,1
1100032,15.3,mppi,1
1100032,14.0,jumpy,1
1150208,15.3,pi,1
1150208,15.3,mppi,1
1150208,12.8,jumpy,1
1200128,15.3,pi,1
1200128,15.3,mppi,1
1200128,17.2,jumpy,1
1250048,15.3,pi,1
1250048,15.3,mppi,1
1250048,14.4,jumpy,1
1300224,15.3,pi,1
1300224,15.3,mppi,1
1300224,21.4,jumpy,1
1350144,15.3,pi,1
1350144,15.3,mppi,1
1350144,14.7,jumpy,1
1400064,15.3,pi,1
1400064,15.3,mppi,1
1400064,18.7,jumpy,1
1450240,15.3,pi,1
1450240,15.3,mppi,1
1450240,17.8,jumpy,1
1500160,15.3,pi,1
1500160,15.3,mppi,1
1500160,16.3,jumpy,1
