step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.3208,1.0000,0.0,4.4
50176,mppi,1,0.2813,1.0000,0.0,5.333333333333333
100096,pi,1,0.2922,1.0000,0.0,5.4
100096,mppi,1,0.9273,1.0000,0.0,1.6666666666666667
150016,pi,1,0.9952,1.0000,0.0,4.8
150016,mppi,1,0.9907,1.0000,0.0,9.333333333333334
200192,pi,1,0.8204,1.0000,0.0,6.6
200192,mppi,1,0.9967,1.0000,0.0,3.3333333333333335
250112,pi,1,0.1148,1.0000,0.0,24.8
250112,mppi,1,0.7300,1.0000,0.0,35.333333333333336
300032,pi,1,0.9402,1.0000,0.0,5.6
300032,mppi,1,0.7667,1.0000,0.0,1.6666666666666667
350208,pi,1,0.5072,1.0000,0.0,27.2
350208,mppi,1,0.9933,1.0000,0.0,6.666666666666667
400128,pi,1,0.9870,1.0000,0.0,9.2
400128,mppi,1,0.3610,1.0000,0.0,3.0
450048,pi,1,0.9472,1.0000,0.0,7.4
450048,mppi,1,0.9713,1.0000,0.0,2.3333333333333335
500224,pi,1,0.9936,1.0000,0.0,6.4
500224,mppi,1,0.9800,1.0000,0.0,5.666666666666667
