step,reward,eval_type,seed
50176,920.8,pi,1
50176,646.8,mppi,1
50176,1980.1,jumpy,1
100096,1937.0,pi,1
100096,726.4,mppi,1
100096,2424.1,jumpy,1
150016,2260.7,pi,1
150016,1632.3,mppi,1
150016,2709.5,jumpy,1
200192,2770.8,pi,1
200192,2177.0,mppi,1
200192,2806.5,jumpy,1
250112,2346.4,pi,1
250112,2446.0,mppi,1
250112,2794.8,jumpy,1
300032,2273.1,pi,1
300032,2665.8,mppi,1
300032,2826.7,jumpy,1
350208,2282.8,pi,1
350208,2485.1,mppi,1
350208,3004.2,jumpy,1
400128,1507.6,pi,1
400128,692.5,mppi,1
400128,2482.2,jumpy,1
450048,2003.0,pi,1
450048,1072.0,mppi,1
450048,1859.8,jumpy,1
500224,995.9,pi,1
500224,498.6,mppi,1
500224,1916.1,jumpy,1
