step,reward,eval_type,seed
250112,0.0,pi,3
250112,0.0,mppi,3
500224,62.7,pi,3
500224,25.9,mppi,3
750080,1.8,pi,3
750080,3.9,mppi,3
1000192,30.6,pi,3
1000192,59.8,mppi,3
1250048,74.7,pi,3
1250048,130.7,mppi,3
1500160,121.6,pi,3
1500160,145.9,mppi,3
1750016,203.9,pi,3
1750016,143.1,mppi,3
2000128,126.2,pi,3
2000128,143.4,mppi,3
2250240,132.9,pi,3
2250240,90.1,mppi,3
2500096,185.7,pi,3
2500096,235.4,mppi,3
2750208,208.3,pi,3
2750208,220.6,mppi,3
3000064,214.1,pi,3
3000064,231.6,mppi,3
3250176,224.2,pi,3
3250176,194.0,mppi,3
3500032,194.2,pi,3
3500032,219.6,mppi,3
3750144,214.1,pi,3
3750144,239.4,mppi,3
4000000,228.7,pi,3
4000000,247.8,mppi,3
4250112,219.8,pi,3
4250112,237.4,mppi,3
4500224,236.5,pi,3
4500224,241.2,mppi,3
4750080,227.3,pi,3
4750080,242.8,mppi,3
5000192,181.6,pi,3
5000192,243.5,mppi,3
5250048,242.1,pi,3
5250048,219.3,mppi,3
5500160,245.0,pi,3
5500160,253.7,mppi,3
5750016,234.6,pi,3
5750016,255.4,mppi,3
6000128,231.9,pi,3
6000128,251.3,mppi,3
6250240,240.1,pi,3
6250240,242.7,mppi,3
6500096,234.7,pi,3
6500096,262.3,mppi,3
6750208,228.2,pi,3
6750208,248.8,mppi,3
7000064,245.1,pi,3
7000064,254.2,mppi,3
7250176,230.1,pi,3
7250176,246.1,mppi,3
7500032,241.8,pi,3
7500032,261.5,mppi,3
7750144,240.3,pi,3
7750144,248.7,mppi,3
8000000,240.8,pi,3
8000000,255.5,mppi,3
8250112,239.4,pi,3
8250112,245.9,mppi,3
