step,reward,eval_type,seed
250112,16.3,pi,5
250112,45.7,mppi,5
500224,2.6,pi,5
500224,4.4,mppi,5
750080,207.1,pi,5
750080,267.6,mppi,5
1000192,296.1,pi,5
1000192,320.7,mppi,5
1250048,317.7,pi,5
1250048,325.1,mppi,5
1500160,312.5,pi,5
1500160,331.9,mppi,5
1750016,313.4,pi,5
1750016,284.7,mppi,5
2000128,322.0,pi,5
2000128,320.0,mppi,5
2250240,315.2,pi,5
2250240,292.4,mppi,5
2500096,329.6,pi,5
2500096,335.0,mppi,5
2750208,318.0,pi,5
2750208,330.6,mppi,5
3000064,316.3,pi,5
3000064,331.8,mppi,5
3250176,318.6,pi,5
3250176,339.2,mppi,5
3500032,333.4,pi,5
3500032,344.5,mppi,5
3750144,322.3,pi,5
3750144,350.4,mppi,5
4000000,311.1,pi,5
4000000,351.1,mppi,5
4250112,325.3,pi,5
4250112,306.4,mppi,5
4500224,322.5,pi,5
4500224,345.3,mppi,5
4750080,331.5,pi,5
4750080,344.7,mppi,5
5000192,321.4,pi,5
5000192,354.1,mppi,5
5250048,323.9,pi,5
5250048,349.5,mppi,5
5500160,333.7,pi,5
5500160,353.2,mppi,5
5750016,330.6,pi,5
5750016,348.3,mppi,5
6000128,335.6,pi,5
6000128,354.0,mppi,5
6250240,333.2,pi,5
6250240,348.2,mppi,5
6500096,321.9,pi,5
6500096,348.8,mppi,5
6750208,328.0,pi,5
6750208,352.1,mppi,5
