step,reward,eval_type,seed
250112,2.2,pi,7
250112,0.0,mppi,7
500224,0.0,pi,7
500224,0.0,mppi,7
750080,1.9,pi,7
750080,0.0,mppi,7
1000192,0.2,pi,7
1000192,0.0,mppi,7
1250048,1.2,pi,7
1250048,2.8,mppi,7
1500160,2.6,pi,7
1500160,0.0,mppi,7
1750016,5.5,pi,7
1750016,4.5,mppi,7
2000128,0.0,pi,7
2000128,3.2,mppi,7
2250240,3.6,pi,7
2250240,1.7,mppi,7
2500096,0.0,pi,7
2500096,3.8,mppi,7
2750208,49.3,pi,7
2750208,5.6,mppi,7
3000064,46.3,pi,7
3000064,79.7,mppi,7
3250176,123.4,pi,7
3250176,65.0,mppi,7
3500032,88.7,pi,7
3500032,8.8,mppi,7
3750144,30.7,pi,7
3750144,4.3,mppi,7
4000000,4.4,pi,7
4000000,2.6,mppi,7
4250112,0.0,pi,7
4250112,2.8,mppi,7
4500224,0.0,pi,7
4500224,3.3,mppi,7
4750080,2.7,pi,7
4750080,5.2,mppi,7
5000192,2.5,pi,7
5000192,6.4,mppi,7
