step,reward,eval_type,seed
250112,20.8,pi,3
250112,5.7,mppi,3
500224,79.6,pi,3
500224,218.6,mppi,3
750080,302.5,pi,3
750080,289.8,mppi,3
1000192,183.6,pi,3
1000192,0.0,mppi,3
1250048,442.9,pi,3
1250048,434.1,mppi,3
1500160,418.0,pi,3
1500160,451.6,mppi,3
1750016,441.8,pi,3
1750016,456.2,mppi,3
2000128,418.9,pi,3
2000128,477.8,mppi,3
2250240,433.0,pi,3
2250240,465.2,mppi,3
2500096,463.2,pi,3
2500096,523.2,mppi,3
2750208,453.9,pi,3
2750208,484.3,mppi,3
3000064,466.4,pi,3
3000064,473.0,mppi,3
3250176,443.3,pi,3
3250176,486.1,mppi,3
3500032,474.6,pi,3
3500032,336.8,mppi,3
3750144,500.3,pi,3
3750144,522.3,mppi,3
4000000,507.2,pi,3
4000000,526.0,mppi,3
