step,reward,eval_type,seed
250112,0.0,pi,2
250112,0.0,mppi,2
500224,0.8,pi,2
500224,1.3,mppi,2
750080,5.9,pi,2
750080,10.5,mppi,2
1000192,0.0,pi,2
1000192,2.7,mppi,2
1250048,2.6,pi,2
1250048,1.7,mppi,2
1500160,0.0,pi,2
1500160,7.5,mppi,2
1750016,285.6,pi,2
1750016,317.9,mppi,2
2000128,284.1,pi,2
2000128,340.1,mppi,2
2250240,323.3,pi,2
2250240,324.1,mppi,2
2500096,344.0,pi,2
2500096,333.5,mppi,2
2750208,300.3,pi,2
2750208,349.9,mppi,2
3000064,325.6,pi,2
3000064,351.3,mppi,2
3250176,331.5,pi,2
3250176,351.7,mppi,2
