step,reward,eval_type,seed
250112,0.1,pi,3
250112,0.0,mppi,3
500224,0.1,pi,3
500224,0.6,mppi,3
750080,54.5,pi,3
750080,13.2,mppi,3
1000192,0.9,pi,3
1000192,2.7,mppi,3
1250048,105.6,pi,3
1250048,125.5,mppi,3
1500160,0.5,pi,3
1500160,5.7,mppi,3
1750016,123.0,pi,3
1750016,219.4,mppi,3
2000128,196.1,pi,3
2000128,264.6,mppi,3
2250240,230.5,pi,3
2250240,241.2,mppi,3
2500096,239.3,pi,3
2500096,258.3,mppi,3
2750208,241.6,pi,3
2750208,264.9,mppi,3
3000064,249.4,pi,3
3000064,272.0,mppi,3
3250176,252.3,pi,3
3250176,264.1,mppi,3
3500032,257.1,pi,3
3500032,261.4,mppi,3
3750144,252.1,pi,3
3750144,274.4,mppi,3
4000000,250.8,pi,3
4000000,267.7,mppi,3
4250112,244.8,pi,3
4250112,271.8,mppi,3
4500224,259.4,pi,3
4500224,271.5,mppi,3
4750080,253.6,pi,3
4750080,267.6,mppi,3
5000192,255.6,pi,3
5000192,274.6,mppi,3
5250048,261.1,pi,3
5250048,281.7,mppi,3
5500160,254.8,pi,3
5500160,270.3,mppi,3
5750016,259.0,pi,3
5750016,275.5,mppi,3
6000128,251.8,pi,3
6000128,243.2,mppi,3
6250240,261.2,pi,3
6250240,243.7,mppi,3
6500096,257.3,pi,3
6500096,250.3,mppi,3
6750208,254.3,pi,3
6750208,237.3,mppi,3
7000064,258.8,pi,3
7000064,194.1,mppi,3
7250176,257.6,pi,3
7250176,260.4,mppi,3
7500032,255.6,pi,3
7500032,242.2,mppi,3
7750144,258.0,pi,3
7750144,226.7,mppi,3
8000000,257.6,pi,3
8000000,224.9,mppi,3
