step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,6,0.0956,0.3244,8.2,275.0
250112,mppi,6,0.1426,0.3421,9.75,181.875
500224,pi,6,0.2234,0.3408,12.8,249.2
500224,mppi,6,0.2870,0.4461,15.625,53.375
750080,pi,6,0.2766,0.5096,14.8,36.8
750080,mppi,6,0.2675,0.5368,13.875,61.125
1000192,pi,6,0.2798,0.5006,14.2,55.2
1000192,mppi,6,0.2711,0.5019,14.25,48.875
1250048,pi,6,0.2922,0.4800,14.8,49.8
1250048,mppi,6,0.2988,0.4932,14.75,42.25
1500160,pi,6,0.2956,0.4976,14.6,34.2
1500160,mppi,6,0.3059,0.4869,14.375,53.75
1750016,pi,6,0.3008,0.4994,14.2,55.0
1750016,mppi,6,0.3115,0.5078,15.125,40.75
2000128,pi,6,0.2850,0.4950,14.0,65.6
2000128,mppi,6,0.3007,0.4763,14.25,58.125
2250240,pi,6,0.2962,0.5050,14.8,46.0
2250240,mppi,6,0.3061,0.4969,15.0,47.125
2500096,pi,6,0.2910,0.5030,14.0,57.4
2500096,mppi,6,0.2967,0.4843,14.625,44.625
2750208,pi,6,0.2940,0.4882,15.0,47.4
2750208,mppi,6,0.2966,0.4718,15.0,51.375
3000064,pi,6,0.2936,0.4982,14.8,44.6
3000064,mppi,6,0.3074,0.4772,14.375,44.5
3250176,pi,6,0.3026,0.4992,14.4,56.4
3250176,mppi,6,0.3132,0.4975,14.0,43.5
3500032,pi,6,0.2952,0.4986,14.0,51.4
3500032,mppi,6,0.2806,0.4316,13.0,54.25
3750144,pi,6,0.3008,0.5088,14.2,49.8
3750144,mppi,6,0.3011,0.4750,14.125,56.125
4000000,pi,6,0.2986,0.4942,14.0,58.2
4000000,mppi,6,0.3037,0.4731,14.5,46.5
4250112,pi,6,0.3066,0.4978,14.2,53.4
4250112,mppi,6,0.3007,0.4831,14.5,51.25
4500224,pi,6,0.3016,0.4890,14.4,42.4
4500224,mppi,6,0.2676,0.4118,12.375,161.375
4750080,pi,6,0.3054,0.5022,14.0,48.6
4750080,mppi,6,0.2939,0.4517,13.5,49.0
5000192,pi,6,0.3124,0.5086,14.0,46.6
5000192,mppi,6,0.3067,0.4681,13.75,46.5
5250048,pi,6,0.3034,0.4908,14.8,39.0
5250048,mppi,6,0.3121,0.4503,13.0,51.0
5500160,pi,6,0.2990,0.4808,14.2,44.4
5500160,mppi,6,0.2855,0.4435,13.75,41.0
5750016,pi,6,0.2974,0.5022,14.6,47.0
5750016,mppi,6,0.2981,0.4716,13.625,41.0
6000128,pi,6,0.3132,0.4996,14.4,49.6
6000128,mppi,6,0.2956,0.4584,14.0,46.75
6250240,pi,6,0.3044,0.4922,14.2,55.2
6250240,mppi,6,0.3065,0.4666,14.125,46.5
