step,reward,eval_type,seed
250112,0.0,pi,1
250112,0.0,mppi,1
500224,0.0,pi,1
500224,0.0,mppi,1
750080,0.1,pi,1
750080,0.0,mppi,1
1000192,0.0,pi,1
1000192,0.0,mppi,1
1250048,7.4,pi,1
1250048,5.2,mppi,1
1500160,138.9,pi,1
1500160,126.5,mppi,1
1750016,2.7,pi,1
1750016,0.1,mppi,1
2000128,101.2,pi,1
2000128,142.9,mppi,1
2250240,123.0,pi,1
2250240,196.9,mppi,1
2500096,187.3,pi,1
2500096,217.1,mppi,1
2750208,182.4,pi,1
2750208,196.9,mppi,1
3000064,175.6,pi,1
3000064,117.8,mppi,1
3250176,194.9,pi,1
3250176,144.9,mppi,1
3500032,236.5,pi,1
3500032,237.1,mppi,1
3750144,215.8,pi,1
3750144,232.0,mppi,1
4000000,215.4,pi,1
4000000,233.6,mppi,1
4250112,235.6,pi,1
4250112,267.5,mppi,1
4500224,227.4,pi,1
4500224,252.7,mppi,1
4750080,240.4,pi,1
4750080,275.7,mppi,1
5000192,228.5,pi,1
5000192,262.8,mppi,1
5250048,239.6,pi,1
5250048,257.5,mppi,1
5500160,259.2,pi,1
5500160,276.2,mppi,1
5750016,238.9,pi,1
5750016,276.7,mppi,1
6000128,244.2,pi,1
6000128,263.4,mppi,1
6250240,234.6,pi,1
6250240,259.8,mppi,1
6500096,229.9,pi,1
6500096,271.3,mppi,1
6750208,239.7,pi,1
6750208,267.0,mppi,1
7000064,237.3,pi,1
7000064,265.0,mppi,1
7250176,244.1,pi,1
7250176,261.5,mppi,1
7500032,244.5,pi,1
7500032,272.1,mppi,1
7750144,243.8,pi,1
7750144,267.3,mppi,1
8000000,238.8,pi,1
8000000,282.1,mppi,1
8250112,242.9,pi,1
8250112,260.1,mppi,1
8500224,244.6,pi,1
8500224,271.1,mppi,1
8750080,244.2,pi,1
8750080,252.3,mppi,1
9000192,266.8,pi,1
9000192,277.8,mppi,1
9250048,259.0,pi,1
9250048,268.7,mppi,1
9500160,253.1,pi,1
9500160,266.1,mppi,1
9750016,261.8,pi,1
9750016,270.0,mppi,1
10000128,266.6,pi,1
10000128,282.0,mppi,1
