step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0000,0.0000,0.0,1000.0
250112,mppi,2,0.0000,0.0029,0.125,1000.0
500224,pi,2,0.0000,0.0000,0.0,1000.0
500224,mppi,2,0.0018,0.0079,0.25,758.625
750080,pi,2,0.0006,0.0088,0.6,807.2
750080,mppi,2,0.0000,0.0010,0.125,1000.0
1000192,pi,2,0.0028,0.0086,0.6,610.8
1000192,mppi,2,0.0009,0.0057,0.25,881.125
1250048,pi,2,0.0012,0.0044,0.2,804.8
1250048,mppi,2,0.0000,0.0005,0.125,1000.0
1500160,pi,2,0.0022,0.0074,0.2,825.2
1500160,mppi,2,0.0000,0.0020,0.25,1000.0
1750016,pi,2,0.0000,0.0000,0.0,1000.0
1750016,mppi,2,0.0017,0.0032,0.25,755.125
2000128,pi,2,0.0000,0.0000,0.0,1000.0
2000128,mppi,2,0.0032,0.0056,0.375,754.25
2250240,pi,2,0.0708,0.1794,5.8,617.0
2250240,mppi,2,0.1246,0.2836,8.75,406.75
2500096,pi,2,0.0022,0.0046,0.2,808.4
2500096,mppi,2,0.0035,0.0116,0.75,643.75
2750208,pi,2,0.1372,0.2814,13.6,273.2
2750208,mppi,2,0.1305,0.2112,10.625,447.0
3000064,pi,2,0.0036,0.0238,0.6,439.2
3000064,mppi,2,0.0011,0.0019,0.25,753.0
3250176,pi,2,0.0018,0.0050,0.4,804.2
3250176,mppi,2,0.0021,0.0236,0.625,659.0
3500032,pi,2,0.1416,0.2208,9.8,427.2
3500032,mppi,2,0.0738,0.1860,6.125,645.75
3750144,pi,2,0.0042,0.0084,0.6,612.2
3750144,mppi,2,0.0065,0.0211,0.625,401.125
4000000,pi,2,0.0102,0.0242,1.2,93.8
4000000,mppi,2,0.0069,0.0259,0.75,295.0
4250112,pi,2,0.0034,0.0042,0.2,810.0
4250112,mppi,2,0.0100,0.0236,0.75,288.625
4500224,pi,2,0.0040,0.0058,0.4,610.6
4500224,mppi,2,0.0011,0.0030,0.25,877.25
4750080,pi,2,0.1478,0.4068,11.4,253.4
4750080,mppi,2,0.2253,0.4412,23.25,55.0
5000192,pi,2,0.1262,0.5356,18.4,97.4
5000192,mppi,2,0.1579,0.2840,10.5,425.5
5250048,pi,2,0.0050,0.0260,1.4,452.4
5250048,mppi,2,0.0067,0.0170,0.75,542.75
5500160,pi,2,0.0104,0.0288,0.8,252.8
5500160,mppi,2,0.1418,0.2920,9.875,289.875
5750016,pi,2,0.0046,0.0170,0.4,666.8
5750016,mppi,2,0.0101,0.0225,0.875,308.75
6000128,pi,2,0.0044,0.0110,0.4,612.4
6000128,mppi,2,0.0071,0.0135,0.625,409.125
6250240,pi,2,0.1668,0.5004,14.6,64.8
6250240,mppi,2,0.1423,0.3890,11.0,302.375
6500096,pi,2,0.1674,0.5132,24.0,65.6
6500096,mppi,2,0.1756,0.4902,16.125,60.625
6750208,pi,2,0.1532,0.4822,16.0,77.6
6750208,mppi,2,0.2700,0.4610,17.125,56.0
7000064,pi,2,0.2418,0.4974,16.0,65.8
7000064,mppi,2,0.2146,0.4068,14.375,169.875
7250176,pi,2,0.1912,0.5014,15.4,84.8
7250176,mppi,2,0.2086,0.5373,16.75,84.75
7500032,pi,2,0.2232,0.4942,16.6,77.8
7500032,mppi,2,0.2528,0.4938,16.125,48.25
