step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.0230,1.0,1000.0
50176,mppi,2,0.0020,0.0210,1.0,669.6666666666666
100096,pi,2,0.0000,0.0130,1.0,1000.0
100096,mppi,2,0.0030,0.0333,1.0,673.0
150016,pi,2,0.0000,0.0152,2.0,1000.0
150016,mppi,2,0.0023,0.0240,1.6666666666666667,670.3333333333334
200192,pi,2,0.0120,0.0370,1.0,19.0
200192,mppi,2,0.0107,0.0310,1.0,14.666666666666666
250112,pi,2,0.0000,0.0130,1.0,1000.0
250112,mppi,2,0.0103,0.0280,1.0,8.666666666666666
300032,pi,2,0.0000,0.0520,1.0,1000.0
300032,mppi,2,0.0007,0.0310,1.0,672.3333333333334
350208,pi,2,0.0000,0.0130,1.0,1000.0
350208,mppi,2,0.0047,0.0227,1.0,10.666666666666666
400128,pi,2,0.0000,0.0120,1.0,1000.0
400128,mppi,2,0.0067,0.0440,1.0,15.0
450048,pi,2,0.0100,0.0560,1.0,8.0
450048,mppi,2,0.0083,0.0313,1.0,14.666666666666666
500224,pi,2,0.0000,0.0450,1.0,1000.0
500224,mppi,2,0.0137,0.0530,2.0,9.0
