step,reward,eval_type,seed
50176,880.5,pi,0
50176,436.3,mppi,0
50176,1841.3,jumpy,0
100096,2054.8,pi,0
100096,2101.7,mppi,0
100096,2146.1,jumpy,0
150016,2106.1,pi,0
150016,1802.0,mppi,0
150016,1892.3,jumpy,0
200192,2411.3,pi,0
200192,2166.8,mppi,0
200192,1989.9,jumpy,0
250112,343.7,pi,0
250112,432.0,mppi,0
250112,2168.1,jumpy,0
300032,519.9,pi,0
300032,1648.5,mppi,0
300032,1180.2,jumpy,0
350208,310.5,pi,0
350208,747.2,mppi,0
350208,1920.5,jumpy,0
400128,360.9,pi,0
400128,290.1,mppi,0
400128,696.3,jumpy,0
