step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.5562,1.0000,0.0,0.0
50176,mppi,0,0.1563,0.9837,4.666666666666667,0.0
100096,pi,0,0.9747,1.0000,0.0,0.0
100096,mppi,0,0.5290,1.0000,0.0,0.0
150016,pi,0,1.0000,1.0000,0.0,0.0
150016,mppi,0,0.3267,1.0000,0.0,0.0
200192,pi,0,1.0000,1.0000,0.0,0.0
200192,mppi,0,0.2253,0.9980,0.3333333333333333,0.0
250112,pi,0,1.0000,1.0000,0.0,0.0
250112,mppi,0,0.7210,0.9870,3.0,0.0
300032,pi,0,0.9258,1.0000,0.0,0.0
300032,mppi,0,1.0000,1.0000,0.0,0.0
350208,pi,0,0.9996,1.0000,0.0,0.0
350208,mppi,0,1.0000,1.0000,0.0,0.0
400128,pi,0,0.9190,1.0000,0.0,0.0
400128,mppi,0,0.8650,0.9887,2.0,0.0
450048,pi,0,1.0000,1.0000,0.0,0.0
450048,mppi,0,0.9953,1.0000,0.0,0.0
500224,pi,0,1.0000,1.0000,0.0,0.0
500224,mppi,0,1.0000,1.0000,0.0,0.0
