step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.5504,0.8494,0.8,0.0
50176,mppi,0,0.4230,1.0000,0.0,0.0
100096,pi,0,0.8320,1.0000,0.0,0.0
100096,mppi,0,0.8767,0.9720,4.0,0.0
150016,pi,0,0.9776,0.9966,0.8,0.0
150016,mppi,0,0.8833,1.0000,0.0,0.0
200192,pi,0,0.9566,0.9968,0.8,0.0
200192,mppi,0,0.8390,1.0000,0.0,0.0
250112,pi,0,0.9080,1.0000,0.0,0.0
250112,mppi,0,0.8250,0.9487,0.3333333333333333,0.0
300032,pi,0,0.9792,1.0000,0.0,0.0
300032,mppi,0,0.9514,1.0000,0.0,0.0
350208,pi,0,0.9970,1.0000,0.0,0.0
350208,mppi,0,0.8763,1.0000,0.0,0.0
