step,reward,eval_type,seed
50176,357.5,pi,0
50176,463.0,mppi,0
50176,1476.8,jumpy,0
100096,1905.7,pi,0
100096,656.3,mppi,0
100096,2639.4,jumpy,0
150016,1452.5,pi,0
150016,1568.4,mppi,0
150016,2954.2,jumpy,0
200192,2199.2,pi,0
200192,1867.5,mppi,0
200192,2650.1,jumpy,0
250112,2163.9,pi,0
250112,1441.4,mppi,0
250112,2497.0,jumpy,0
300032,1825.3,pi,0
300032,1019.8,mppi,0
300032,1799.8,jumpy,0
350208,1619.2,pi,0
350208,1928.0,mppi,0
350208,2504.9,jumpy,0
400128,1635.8,pi,0
400128,362.6,mppi,0
400128,1966.7,jumpy,0
450048,1000.5,pi,0
450048,554.6,mppi,0
450048,1797.4,jumpy,0
