step,reward,eval_type,seed
50176,42.6,pi,9
50176,32.5,mppi,9
100096,167.5,pi,9
100096,401.5,mppi,9
150016,98.2,pi,9
150016,89.9,mppi,9
200192,82.1,pi,9
200192,71.8,mppi,9
250112,582.2,pi,9
250112,648.7,mppi,9
300032,606.4,pi,9
300032,592.1,mppi,9
350208,667.1,pi,9
350208,649.3,mppi,9
400128,160.7,pi,9
400128,137.5,mppi,9
450048,684.1,pi,9
450048,685.9,mppi,9
500224,563.9,pi,9
500224,139.9,mppi,9
550144,663.0,pi,9
550144,673.1,mppi,9
600064,404.3,pi,9
600064,245.6,mppi,9
650240,681.2,pi,9
650240,713.0,mppi,9
700160,707.2,pi,9
700160,737.7,mppi,9
750080,720.1,pi,9
750080,729.3,mppi,9
800000,685.6,pi,9
800000,704.6,mppi,9
850176,697.9,pi,9
850176,724.5,mppi,9
900096,721.7,pi,9
900096,729.4,mppi,9
950016,708.6,pi,9
950016,712.5,mppi,9
1000192,729.0,pi,9
1000192,728.0,mppi,9
