step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.2912,0.2912,34.4,34.6
50176,mppi,4,0.3620,0.3620,46.0,16.333333333333332
100096,pi,4,0.6140,0.6140,44.8,15.0
100096,mppi,4,0.6320,0.6320,43.0,13.0
150016,pi,4,0.7366,0.7366,72.8,19.2
150016,mppi,4,0.7517,0.7517,73.66666666666667,13.0
200192,pi,4,0.9534,0.9534,19.2,12.0
200192,mppi,4,0.9857,0.9857,3.6666666666666665,10.0
250112,pi,4,0.9800,0.9800,2.6,14.6
250112,mppi,4,0.9783,0.9783,5.666666666666667,15.0
300032,pi,4,0.8690,0.8690,61.4,9.6
300032,mppi,4,0.9703,0.9703,13.333333333333334,15.333333333333334
350208,pi,4,0.9258,0.9258,41.0,12.0
350208,mppi,4,0.9803,0.9803,6.333333333333333,11.666666666666666
400128,pi,4,0.9362,0.9362,32.8,14.2
400128,mppi,4,0.9760,0.9760,3.6666666666666665,14.0
450048,pi,4,0.9646,0.9646,17.0,11.0
450048,mppi,4,0.9807,0.9807,4.333333333333333,13.666666666666666
500224,pi,4,0.9722,0.9722,12.0,12.2
500224,mppi,4,0.9880,0.9880,0.3333333333333333,11.666666666666666
