step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,7,0.0000,0.8080,0.6,1000.0
50176,mppi,7,0.0000,0.9807,1.3333333333333333,1000.0
100096,pi,7,0.1116,0.9838,3.8,123.4
100096,mppi,7,0.2523,0.9963,1.3333333333333333,89.33333333333333
150016,pi,7,0.4490,0.9930,2.0,53.2
150016,mppi,7,0.6370,0.9703,5.333333333333333,57.333333333333336
200192,pi,7,0.7368,0.8026,1.2,259.8
200192,mppi,7,0.9140,0.9947,1.0,86.0
250112,pi,7,0.7908,0.9910,2.2,76.0
250112,mppi,7,0.9420,0.9990,0.6666666666666666,55.666666666666664
300032,pi,7,0.9420,0.9942,0.6,57.2
300032,mppi,7,0.9230,0.9957,0.3333333333333333,70.66666666666667
350208,pi,7,0.8984,0.9988,0.6,55.8
350208,mppi,7,0.9603,0.9993,0.3333333333333333,39.666666666666664
400128,pi,7,0.9218,0.9966,0.4,60.6
400128,mppi,7,0.9317,0.9987,0.3333333333333333,52.666666666666664
450048,pi,7,0.9208,0.9996,0.4,79.2
450048,mppi,7,0.9237,0.9900,0.6666666666666666,76.33333333333333
500224,pi,7,0.9226,0.9964,0.6,54.6
500224,mppi,7,0.9557,0.9930,0.6666666666666666,44.333333333333336
550144,pi,7,0.9410,0.9976,0.4,57.6
550144,mppi,7,0.9350,0.9930,1.0,63.666666666666664
600064,pi,7,0.9270,0.9902,1.2,73.0
600064,mppi,7,0.5993,0.9917,1.3333333333333333,374.3333333333333
650240,pi,7,0.9460,0.9936,0.4,53.8
650240,mppi,7,0.9493,0.9967,0.3333333333333333,50.666666666666664
700160,pi,7,0.9508,0.9972,0.4,49.2
700160,mppi,7,0.9473,0.9980,0.6666666666666666,42.666666666666664
750080,pi,7,0.9524,0.9998,0.2,46.0
750080,mppi,7,0.9510,0.9987,0.3333333333333333,49.0
800000,pi,7,0.9446,0.9994,0.4,53.6
800000,mppi,7,0.9513,0.9947,0.3333333333333333,48.666666666666664
850176,pi,7,0.9580,0.9986,0.4,42.0
850176,mppi,7,0.9377,0.9953,1.0,62.333333333333336
900096,pi,7,0.9422,0.9990,0.2,57.4
900096,mppi,7,0.9367,0.9990,0.6666666666666666,63.333333333333336
950016,pi,7,0.9226,0.9978,0.8,76.4
950016,mppi,7,0.9463,0.9947,1.0,53.666666666666664
1000192,pi,7,0.9508,0.9998,0.2,49.2
1000192,mppi,7,0.9353,0.9950,0.6666666666666666,64.66666666666667
